,name,NBA_and_ones,NBA_assist_percentage,NBA_assists,NBA_block_percentage,NBA_blocking_fouls,NBA_blocks,NBA_box_plus_minus,NBA_center_percentage,NBA_defensive_box_plus_minus,NBA_defensive_rebound_percentage,NBA_defensive_rebounds,NBA_defensive_win_shares,NBA_dunks,NBA_effective_field_goal_percentage,NBA_field_goal_attempts,NBA_field_goal_perc_sixteen_foot_plus_two_pointers,NBA_field_goal_perc_ten_to_sixteen_feet,NBA_field_goal_perc_three_to_ten_feet,NBA_field_goal_perc_zero_to_three_feet,NBA_field_goal_percentage,NBA_field_goals,NBA_free_throw_attempt_rate,NBA_free_throw_attempts,NBA_free_throw_percentage,NBA_free_throws,NBA_games_played,NBA_games_started,NBA_half_court_heaves,NBA_half_court_heaves_made,NBA_height,NBA_lost_ball_turnovers,NBA_minutes_played,NBA_nationality,NBA_net_plus_minus,NBA_offensive_box_plus_minus,NBA_offensive_fouls,NBA_offensive_rebound_percentage,NBA_offensive_rebounds,NBA_offensive_win_shares,NBA_on_court_plus_minus,NBA_other_turnovers,NBA_passing_turnovers,NBA_percentage_field_goals_as_dunks,NBA_percentage_of_three_pointers_from_corner,NBA_percentage_shots_three_pointers,NBA_percentage_shots_two_pointers,NBA_percentage_sixteen_foot_plus_two_pointers,NBA_percentage_ten_to_sixteen_footers,NBA_percentage_three_to_ten_footers,NBA_percentage_zero_to_three_footers,NBA_personal_fouls,NBA_player_efficiency_rating,NBA_player_id,NBA_point_guard_percentage,NBA_points,NBA_points_generated_by_assists,NBA_position,NBA_power_forward_percentage,NBA_salary,NBA_shooting_distance,NBA_shooting_fouls,NBA_shooting_fouls_drawn,NBA_shooting_guard_percentage,NBA_shots_blocked,NBA_small_forward_percentage,NBA_steal_percentage,NBA_steals,NBA_take_fouls,NBA_team_abbreviation,NBA_three_point_attempt_rate,NBA_three_point_attempts,NBA_three_point_percentage,NBA_three_point_shot_percentage_from_corner,NBA_three_pointers,NBA_three_pointers_assisted_percentage,NBA_total_rebound_percentage,NBA_total_rebounds,NBA_true_shooting_percentage,NBA_turnover_percentage,NBA_turnovers,NBA_two_point_attempts,NBA_two_point_percentage,NBA_two_pointers,NBA_two_pointers_assisted_percentage,NBA_usage_percentage,NBA_value_over_replacement_player,NBA_weight,NBA_win_shares,NBA_win_shares_per_48_minutes,NCAAB_assist_percentage,NCAAB_assists,NCAAB_block_percentage,NCAAB_blocks,NCAAB_box_plus_minus,NCAAB_conference,NCAAB_defensive_box_plus_minus,NCAAB_defensive_rebound_percentage,NCAAB_defensive_rebounds,NCAAB_defensive_win_shares,NCAAB_effective_field_goal_percentage,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_minutes_played,NCAAB_offensive_box_plus_minus,NCAAB_offensive_rebound_percentage,NCAAB_offensive_rebounds,NCAAB_offensive_win_shares,NCAAB_personal_fouls,NCAAB_player_efficiency_rating,NCAAB_player_id,NCAAB_points,NCAAB_points_produced,NCAAB_position,NCAAB_steal_percentage,NCAAB_steals,NCAAB_team_abbreviation,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_three_point_percentage,NCAAB_three_pointers,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_true_shooting_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_two_pointers,NCAAB_usage_percentage,NCAAB_weight,NCAAB_win_shares,NCAAB_win_shares_per_40_minutes
0,Quincy Miller,,16.8,3.0,0.0,,0.0,-8.4,0,-3.3,4.2,1.0,0.0,1.0,0.333,12.0,0.0,,0.5,0.5,0.333,4.0,0.167,2.0,0.5,1.0,7.0,0.0,0.0,0.0,6-9,,26.0,United States of America,,-5.1,,4.4,1.0,0.0,,,,0.083,0.0,0.083,0.917,0.25,0.0,0.167,0.5,3.0,5.9,millequ01,0,9.0,,,0,473604,8.8,,,0,,0,1.9,1.0,,DEN,0.083,1.0,0.0,,0.0,,4.3,2.0,0.349,7.2,1.0,11.0,0.364,4.0,0.25,23.1,0.0,210,0.0,-0.051,11.6,53,2.9,24,4.8,big-12,2.4,17.5,128,1.3,0.485,309,0.447,138,0.369,114,0.816,93,37,35,6-9,903,2.5,7.5,54,2.1,69,19.4,quincy-miller-1,393,377,Forward,1.7,25,baylor,0.223,69,0.348,24,12.5,182,0.541,15.4,66,240,0.475,114,23.9,210,3.5,0.153
1,Terrence Jones,,8.6,15.0,5.2,,19.0,2.1,0,2.6,15.0,37.0,0.4,15.0,0.484,94.0,0.167,0.25,0.296,0.737,0.457,43.0,0.181,17.0,0.765,13.0,19.0,0.0,0.0,0.0,6-9,,276.0,United States of America,,-0.5,,11.6,28.0,0.3,,,,0.181,0.316,0.202,0.798,0.064,0.043,0.287,0.404,21.0,17.1,joneste01,0,104.0,,PF,0,1485000,9.3,,,0,,0,2.2,12.0,,HOU,0.202,19.0,0.263,0.167,5.0,1.0,13.4,65.0,0.512,11.4,13.0,75.0,0.507,38.0,0.553,18.1,0.3,252,0.7,0.128,8.7,51,5.8,68,10.4,sec,5.7,17.5,176,2.7,0.523,354,0.5,177,0.446,158,0.627,99,38,34,6-9,1115,4.7,10.7,96,3.1,91,24.3,terrence-jones-1,469,465,Forward,2.7,49,kentucky,0.138,49,0.327,16,14.3,272,0.547,12.6,62,305,0.528,161,22.4,252,5.8,0.209
2,Scott Machado,,44.2,6.0,0.0,,0.0,-15.1,0,-2.9,5.3,1.0,0.0,0.0,0.5,6.0,0.0,,,0.75,0.5,3.0,0.333,2.0,1.0,2.0,6.0,0.0,0.0,0.0,6-1,,21.0,United States of America,,-12.2,,0.0,0.0,-0.1,,,,0.0,0.0,0.167,0.833,0.167,0.0,0.0,0.667,0.0,6.0,machasc01,0,8.0,,PG,0,192228,8.2,,,0,,0,4.8,2.0,,HOU,0.167,1.0,0.0,,0.0,,2.7,1.0,0.581,53.8,8.0,5.0,0.6,3.0,0.333,31.0,-0.1,205,-0.1,-0.23,44.2,327,0.6,7,5.9,maac,0.2,14.2,133,1.4,0.559,313,0.495,155,0.39,122,0.811,99,33,33,6-1,1171,5.7,3.1,30,4.5,86,23.5,scott-machado-1,449,590.0,Guard,2.5,53,iona,0.316,99,0.404,40,8.6,163,0.605,22.5,108,214,0.537,115,19.9,180,5.9,0.203
3,Perry Jones,,5.5,10.0,1.6,,6.0,-8.6,0,-1.6,19.1,50.0,0.4,15.0,0.394,99.0,0.323,0.238,0.167,0.778,0.394,39.0,0.152,15.0,0.667,10.0,38.0,1.0,0.0,0.0,6-11,,280.0,United States of America,,-7.0,,5.3,12.0,-0.4,,,,0.172,0.0,0.02,0.98,0.313,0.212,0.182,0.273,23.0,7.8,jonespe01,0,88.0,,,0,1035960,10.6,,,0,,0,0.9,5.0,,OKC,0.02,2.0,0.0,,0.0,,12.7,62.0,0.417,12.4,15.0,97.0,0.402,39.0,0.718,19.6,-0.5,235,0.0,-0.003,8.7,42,2.1,20,5.0,big-12,2.0,19.8,163,1.6,0.514,364,0.5,182,0.28,102,0.696,71,33,33,6-11,1013,3.0,11.0,89,2.7,77,21.2,perry-jones-1,445,421,Forward,1.6,28,baylor,0.091,33,0.303,10,15.4,252,0.539,12.0,56,331,0.52,172,23.3,235,4.2,0.167
4,Jeremy Lamb,,5.4,5.0,1.0,,2.0,-7.1,0,-4.8,9.4,13.0,0.1,1.0,0.419,68.0,0.417,0.4,0.364,0.4,0.353,24.0,0.206,14.0,1.0,14.0,23.0,0.0,0.0,0.0,6-5,,147.0,United States of America,,-2.3,,4.2,5.0,0.1,,,,0.029,0.133,0.441,0.559,0.176,0.074,0.162,0.147,13.0,11.2,lambje01,0,71.0,,SG,0,2020200.0,16.4,,,0,,0,0.7,2.0,,OKC,0.441,30.0,0.3,0.25,9.0,0.889,7.0,18.0,0.479,7.5,6.0,38.0,0.395,15.0,0.533,24.8,-0.2,185,0.2,0.058,10.1,58,1.7,21,7.6,big-east,0.8,12.2,134,1.3,0.556,454,0.478,217,0.267,121,0.81,98,34,34,6-5,1266,6.7,3.0,32,3.9,57,22.1,jeremy-lamb-1,603,524,Guard,2.1,42,connecticut,0.465,211,0.336,71,7.7,166,0.589,11.7,68,243,0.601,146,23.9,180,5.2,0.165
5,Jarvis Varnado,,7.2,3.0,2.8,,2.0,-6.9,0,1.3,14.0,7.0,0.1,1.0,0.429,7.0,,0.0,0.5,0.5,0.429,3.0,0.571,4.0,0.5,2.0,13.0,0.0,0.0,0.0,6-9,,58.0,United States of America,,-8.2,,4.4,2.0,-0.1,,,,0.143,,0.0,1.0,0.0,0.143,0.286,0.571,10.0,1.2,varnaja01,0,8.0,,,0,275805,4.3,,,0,,0,0.9,1.0,,TOT,0.0,0.0,,,0.0,,9.4,9.0,0.457,40.7,6.0,7.0,0.429,3.0,0.667,12.1,-0.1,230,-0.1,-0.059,6.2,32,14.2,170,,sec,,22.9,262,3.2,0.582,316,0.582,184,0.665,210,0.61,128,36,36,6-9,1141,,10.6,107,3.1,88,,jarvis-varnado-1,496,477.0,Forward,1.2,24,mississippi-state,0.0,0,,0,17.2,369,0.597,14.6,71,316,0.582,184,21.6,230,6.3,0.221
6,Darius Johnson-Odom,,21.7,1.0,0.0,,0.0,-17.6,0,-0.9,53.7,3.0,0.0,0.0,0.0,4.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,6-2,,6.0,United States of America,,-16.7,,18.9,1.0,-0.1,,,,0.0,0.0,0.25,0.75,0.0,0.5,0.0,0.25,0.0,-6.7,johnsda03,0,0.0,,SG,0,192228.0,14.0,,,0,,0,0.0,0.0,,LAL,0.25,1.0,0.0,,0.0,,36.7,4.0,0.0,0.0,0.0,3.0,0.0,0.0,,29.7,0.0,215,-0.1,-0.439,17.7,93,0.4,4,5.9,big-east,0.2,10.1,97,1.5,0.529,470,0.447,210,0.351,165,0.764,126,34,33,6-2,1120,5.7,2.3,22,3.1,68,20.1,darius-johnson-odom-1,623,551,Guard,1.6,32,marquette,0.426,200,0.385,77,6.1,119,0.568,12.7,80,270,0.493,133,27.2,215,4.7,0.167
7,Robert Sacre,,4.3,6.0,3.6,,10.0,-7.5,0,-0.2,13.2,25.0,0.1,7.0,0.375,48.0,0.2,0.333,0.316,0.533,0.375,18.0,0.229,11.0,0.636,7.0,32.0,3.0,0.0,0.0,7-0,,203.0,United States of America,,-7.3,,5.0,9.0,-0.2,,,,0.167,,0.0,1.0,0.104,0.188,0.396,0.313,38.0,3.4,sacrero01,0,43.0,,C,0,473604,7.5,,,0,,0,0.0,0.0,,LAL,0.0,0.0,,,0.0,,9.2,34.0,0.407,15.9,10.0,48.0,0.375,18.0,0.778,13.8,-0.3,270,-0.1,-0.024,5.7,24,5.8,47,4.9,wcc,3.5,20.2,141,1.6,0.511,229,0.511,117,0.86,197,0.761,150,33,33,7-0,868,1.4,9.9,67,2.6,72,22.3,robert-sacre-1,384,370.0,Center,0.8,12,gonzaga,0.009,2,0.0,0,15.1,208,0.595,15.7,60,227,0.515,117,22.9,260,4.2,0.194
8,Harrison Barnes,,7.3,98.0,0.5,,14.0,-2.4,0,-0.3,14.5,280.0,1.9,67.0,0.481,628.0,0.305,0.2,0.359,0.685,0.439,276.0,0.303,190.0,0.758,144.0,81.0,81.0,0.0,0.0,6-8,,2058.0,United States of America,,-2.1,,2.9,53.0,0.9,,,,0.115,0.297,0.231,0.769,0.131,0.111,0.204,0.323,140.0,11.0,barneha02,0,748.0,,PF-SF,0,2798040.0,11.4,,,0,,0,1.3,52.0,,GSW,0.231,145.0,0.359,0.442,52.0,0.923,8.9,333.0,0.526,12.4,101.0,483.0,0.464,224.0,0.567,17.7,-0.2,225,2.8,0.065,7.2,43,1.1,13,6.2,acc,1.7,11.9,124,1.9,0.487,521,0.44,229,0.374,195,0.723,141,38,37,6-8,1111,4.5,6.9,74,3.1,68,21.2,harrison-barnes-1,648,571,Forward,2.0,41,north-carolina,0.263,137,0.358,49,9.4,198,0.528,10.8,74,384,0.469,180,28.1,215,5.0,0.181
9,Kent Bazemore,,13.1,22.0,1.2,,4.0,-4.9,0,-1.5,6.8,17.0,0.3,2.0,0.414,116.0,0.35,0.333,0.286,0.565,0.371,43.0,0.379,44.0,0.614,27.0,61.0,0.0,1.0,0.0,6-4,,267.0,United States of America,,-3.4,,2.1,5.0,-0.3,,,,0.017,0.265,0.293,0.707,0.345,0.103,0.06,0.198,27.0,11.3,bazemke01,0,123.0,,SG,0,473604.0,16.3,,,0,,0,3.2,17.0,,GSW,0.293,34.0,0.294,0.333,10.0,0.5,4.5,22.0,0.454,11.7,18.0,82.0,0.402,33.0,0.242,25.7,-0.2,195,0.1,0.014,23.9,107,1.3,12,5.7,colonial,2.5,17.2,148,2.5,0.463,457,0.407,186,0.398,182,0.632,115,35,32,6-5,1103,3.3,6.1,65,1.8,96,21.1,kent-bazemore-1,538,519.0,Guard,4.1,74,old-dominion,0.348,159,0.321,51,11.1,213,0.495,17.1,112,298,0.453,135,29.7,195,4.2,0.154
