,name,NBA_and_ones,NBA_assist_percentage,NBA_assists,NBA_block_percentage,NBA_blocking_fouls,NBA_blocks,NBA_box_plus_minus,NBA_center_percentage,NBA_defensive_box_plus_minus,NBA_defensive_rebound_percentage,NBA_defensive_rebounds,NBA_defensive_win_shares,NBA_dunks,NBA_effective_field_goal_percentage,NBA_field_goal_attempts,NBA_field_goal_perc_sixteen_foot_plus_two_pointers,NBA_field_goal_perc_ten_to_sixteen_feet,NBA_field_goal_perc_three_to_ten_feet,NBA_field_goal_perc_zero_to_three_feet,NBA_field_goal_percentage,NBA_field_goals,NBA_free_throw_attempt_rate,NBA_free_throw_attempts,NBA_free_throw_percentage,NBA_free_throws,NBA_games_played,NBA_games_started,NBA_half_court_heaves,NBA_half_court_heaves_made,NBA_height,NBA_lost_ball_turnovers,NBA_minutes_played,NBA_nationality,NBA_net_plus_minus,NBA_offensive_box_plus_minus,NBA_offensive_fouls,NBA_offensive_rebound_percentage,NBA_offensive_rebounds,NBA_offensive_win_shares,NBA_on_court_plus_minus,NBA_other_turnovers,NBA_passing_turnovers,NBA_percentage_field_goals_as_dunks,NBA_percentage_of_three_pointers_from_corner,NBA_percentage_shots_three_pointers,NBA_percentage_shots_two_pointers,NBA_percentage_sixteen_foot_plus_two_pointers,NBA_percentage_ten_to_sixteen_footers,NBA_percentage_three_to_ten_footers,NBA_percentage_zero_to_three_footers,NBA_personal_fouls,NBA_player_efficiency_rating,NBA_player_id,NBA_point_guard_percentage,NBA_points,NBA_points_generated_by_assists,NBA_position,NBA_power_forward_percentage,NBA_salary,NBA_shooting_distance,NBA_shooting_fouls,NBA_shooting_fouls_drawn,NBA_shooting_guard_percentage,NBA_shots_blocked,NBA_small_forward_percentage,NBA_steal_percentage,NBA_steals,NBA_take_fouls,NBA_team_abbreviation,NBA_three_point_attempt_rate,NBA_three_point_attempts,NBA_three_point_percentage,NBA_three_point_shot_percentage_from_corner,NBA_three_pointers,NBA_three_pointers_assisted_percentage,NBA_total_rebound_percentage,NBA_total_rebounds,NBA_true_shooting_percentage,NBA_turnover_percentage,NBA_turnovers,NBA_two_point_attempts,NBA_two_point_percentage,NBA_two_pointers,NBA_two_pointers_assisted_percentage,NBA_usage_percentage,NBA_value_over_replacement_player,NBA_weight,NBA_win_shares,NBA_win_shares_per_48_minutes,NCAAB_assist_percentage,NCAAB_assists,NCAAB_block_percentage,NCAAB_blocks,NCAAB_box_plus_minus,NCAAB_conference,NCAAB_defensive_box_plus_minus,NCAAB_defensive_rebound_percentage,NCAAB_defensive_rebounds,NCAAB_defensive_win_shares,NCAAB_effective_field_goal_percentage,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_minutes_played,NCAAB_offensive_box_plus_minus,NCAAB_offensive_rebound_percentage,NCAAB_offensive_rebounds,NCAAB_offensive_win_shares,NCAAB_personal_fouls,NCAAB_player_efficiency_rating,NCAAB_player_id,NCAAB_points,NCAAB_points_produced,NCAAB_position,NCAAB_steal_percentage,NCAAB_steals,NCAAB_team_abbreviation,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_three_point_percentage,NCAAB_three_pointers,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_true_shooting_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_two_pointers,NCAAB_usage_percentage,NCAAB_weight,NCAAB_win_shares,NCAAB_win_shares_per_40_minutes
0,Landry Fields,,9.0,155,0.5,,17,0.6,0,0.1,18.9,416,1.8,41,0.568,602,0.433,0.318,0.297,0.729,0.497,299,0.244,147,0.769,113,82,81,3,0,6-7,,2541,United States of America,,0.5,,4.7,105,3.4,,,,0.07,0.365,0.364,0.636,0.1,0.037,0.151,0.349,114,13.5,fieldla01,0,797,,SF,0,473604,12.8,,,0,,0,1.6,80,,NYK,0.364,219,0.393,0.45,86,1.0,11.7,521,0.598,13.8,107,383,0.556,213,0.582,13.5,1.7,210,5.3,0.1,19.5,89,2.3,25,,pac-10,,20.6,199,1.8,0.519,506,0.49,248,0.508,257,0.696,179,32,32,6-7,1161,,7.9,81,4.2,65,,landry-fields-1,704,673.0,Guard,2.6,51,stanford,0.17,86,0.337,29,14.1,280,0.56,11.7,83,420,0.521,219,31.5,215,6.0,0.206
1,Andy Rautins,,18.7,3.0,0.0,,0.0,-16.0,0,-4.3,4.8,1.0,0.0,0.0,0.5,7.0,1.0,,,0.0,0.429,3.0,0.286,2.0,0.5,1.0,5.0,0.0,0.0,0.0,6-4,,24.0,United States of America,,-11.6,,0.0,0.0,-0.2,,,,0.0,0.0,0.571,0.429,0.286,0.0,0.0,0.143,0.0,-1.2,rautian01,0,8.0,,,0,600000,20.7,,,0,,0,2.1,1.0,,NYK,0.571,4.0,0.25,,1.0,1.0,2.4,1.0,0.508,47.0,7.0,3.0,0.667,2.0,1.0,27.5,-0.1,190,-0.2,-0.314,23.9,171,0.8,8,,big-east,,8.8,100,2.1,0.603,297,0.438,130,0.273,81,0.815,66,35,35,6-5,1137,,2.0,18,2.9,76,,andy-rautins-1,424,441.0,Guard,3.4,69,syracuse,0.811,241,0.407,98,5.8,118,0.632,22.6,98,56,0.571,32,18.4,195,4.9,0.173
2,Patrick Patterson,,7.6,41,3.0,,37,0.5,0,0.5,14.9,114,0.7,17,0.558,267,0.524,0.49,0.49,0.687,0.558,149,0.157,42,0.714,30,52,6,1,0,6-8,,868,United States of America,,0.0,,11.2,86,1.7,,,,0.075,0.5,0.007,0.993,0.315,0.184,0.184,0.311,77,16.7,pattepa01,0,328,,PF,0,1823280.0,10.1,,,0,,0,1.0,17,,HOU,0.007,2,0.0,0.0,0,,13.1,200,0.574,9.8,31,265,0.562,149,0.711,16.1,0.5,230,2.4,0.134,5.5,36,4.1,51,,sec,,13.4,167,2.4,0.607,374,0.575,215,0.348,130,0.692,90,38,38,6-9,1255,,10.6,116,4.6,61,,patrick-patterson-1,544,498.0,Forward,1.2,27,kentucky,0.184,69,0.348,24,12.1,283,0.624,8.6,41,305,0.626,191,18.0,235,7.0,0.223
3,Gani Lawal,,0.0,0,0.0,,0,-4.9,0,0.5,0.0,0,0.0,0,,0,,,,,,0,,0,,0,1,0,0,0,6-9,,2,United States of America,,-5.4,,0.0,0,0.0,,,,,,,,,,,,1,-9.1,lawalga01,0,0,,PF,0,473640,,,,0,,0,0.0,0,,PHO,,0,,,0,,0.0,0,,,0,0,,0,,0.0,0.0,234,0.0,-0.009,3.4,15,5.6,49,,acc,,21.7,200,2.2,0.529,325,0.529,172,0.683,222,0.572,127,36,36,6-9,930,,13.0,105,1.9,76,,gani-lawal-1,471,435.0,Forward,1.0,16,georgia-tech,0.003,1,0.0,0,17.6,305,0.547,15.3,78,324,0.531,172,26.1,234,4.1,0.177
4,Cole Aldrich,,4.0,4.0,3.6,,7.0,-0.8,0,2.6,17.5,22.0,0.2,5.0,0.533,15.0,,,0.222,1.0,0.533,8.0,0.267,4.0,0.5,2.0,18.0,0.0,0.0,0.0,6-11,,142.0,United States of America,,-3.4,,11.1,13.0,0.0,,,,0.333,,0.0,1.0,0.0,0.0,0.6,0.4,30.0,7.0,aldrico01,0,18.0,,,0,2126520.0,3.8,,,0,,0,1.8,5.0,,OKC,0.0,0.0,,,0.0,,14.4,35.0,0.537,32.3,8.0,15.0,0.533,8.0,0.375,7.9,0.0,250,0.2,0.066,5.8,31,13.0,125,,big-12,,25.4,244,2.9,0.562,265,0.562,149,0.6,159,0.679,108,36,36,6-11,963,,13.6,110,3.0,92,,cole-aldrich-1,406,400.0,Center,1.6,27,kansas,0.0,0,,0,20.0,354,0.596,14.1,56,265,0.562,149,19.9,245,5.9,0.245
5,Jeremy Lin,,20.4,42,2.4,,9,0.6,0,3.0,8.9,22,0.4,0,0.396,72,0.286,0.25,0.316,0.533,0.389,28,0.347,25,0.76,19,29,0,0,0,6-3,,285,United States of America,,-2.4,,4.7,12,0.0,,,,0.0,0.2,0.069,0.931,0.194,0.056,0.264,0.417,31,14.8,linje01,0,76,,PG,0,473604,8.5,,,0,,0,5.9,33,,GSW,0.069,5,0.2,0.0,1,0.0,6.8,34,0.458,17.8,18,67,0.403,27,0.407,15.6,0.2,200,0.5,0.078,31.0,131,3.6,31,,ivy,,12.9,103,2.0,0.571,287,0.519,149,0.683,196,0.755,148,29,29,6-2,933,,3.5,24,3.4,85,,jeremy-lin-1,476,483.0,Guard,4.5,71,harvard,0.307,88,0.341,30,8.6,127,0.626,19.1,90,199,0.598,119,26.1,200,5.3,0.229
6,Ekpe Udoh,,5.4,40,6.4,,86,-2.0,0,2.2,11.4,101,0.7,17,0.437,222,0.407,0.308,0.422,0.534,0.437,97,0.288,64,0.656,42,58,18,0,0,6-10,,1030,United States of America,,-4.1,,8.6,80,0.0,,,,0.086,,0.0,1.0,0.122,0.176,0.374,0.329,144,9.7,udohek01,0,236,,C,0,3065040,7.3,,,0,,0,1.1,22,,GSW,0.0,0,,,0,,10.0,181,0.472,16.1,48,222,0.437,97,0.515,12.8,0.0,245,0.7,0.032,14.4,97.0,11.0,133.0,,big-12,,17.7,222.0,2.6,0.499,390.0,0.49,191.0,0.415,162.0,0.685,111.0,36.0,36.0,6-10,1264.0,,12.9,129.0,3.4,87.0,,ekpe-udoh-1,500.0,542.0,Center,1.4,29.0,baylor,0.067,26.0,0.269,7.0,15.6,351.0,0.535,15.7,87.0,364.0,0.505,184.0,22.1,240,6.1,0.192
7,Dexter Pittman,,0.0,0,0.0,,0,-21.2,0,-5.5,20.4,2,0.0,0,0.333,3,,,0.0,0.5,0.333,1,0.0,0,,0,2,0,0,0,6-11,,11,United States of America,,-15.7,,11.5,1,-0.1,,,,0.0,,0.0,1.0,0.0,0.0,0.333,0.667,2,-6.4,pittmde01,0,2,,C,0,473604.0,4.7,,,0,,0,0.0,0,,MIA,0.0,0,,,0,,16.2,3,0.333,40.0,2,3,0.333,1,1.0,21.3,-0.1,308,-0.1,-0.246,5.1,17,8.9,63,,big-12,,15.3,98,1.3,0.654,214,0.654,140,0.631,135,0.556,75,34,34,6-10,648,,16.6,101,2.1,90,,dexter-pittman-1,355,333.0,Center,1.0,12,texas,0.0,0,,0,15.9,199,0.638,17.7,60,214,0.654,140,23.6,290,3.4,0.213
8,Derrick Caracter,,5.1,7.0,3.5,,10.0,-4.9,0,-0.3,12.2,24.0,0.3,3.0,0.485,66.0,0.5,0.636,0.25,0.621,0.485,32.0,0.348,23.0,0.739,17.0,41.0,0.0,0.0,0.0,6-9,,215.0,United States of America,,-4.5,,10.3,19.0,0.0,,,,0.045,,0.0,1.0,0.03,0.167,0.364,0.439,47.0,10.0,caracde01,0,81.0,,,0,473604,5.6,,,0,,0,1.0,4.0,,LAL,0.0,0.0,,,0.0,,11.3,43.0,0.532,20.0,19.0,66.0,0.485,32.0,0.531,20.2,-0.2,275,0.3,0.057,9.0,30.0,3.6,23.0,,cusa,,21.7,146.0,1.8,0.575,261.0,0.567,148.0,0.456,119.0,0.672,80.0,27.0,22.0,6-9,720.0,,12.0,72.0,1.6,82.0,,derrick-caracter-1,380.0,360.0,Forward,2.1,26.0,texas-el-paso,0.057,15.0,0.267,4.0,17.1,218.0,0.598,19.5,77.0,246.0,0.585,144.0,27.4,275,3.4,0.191
9,Devin Ebanks,,2.8,2,3.2,,5,-4.3,0,-2.5,11.1,12,0.2,5,0.431,51,0.222,0.167,0.417,0.579,0.412,21,0.451,23,0.783,18,20,0,0,0,6-9,,118,United States of America,,-1.8,,14.9,15,0.2,,,,0.098,0.6,0.098,0.902,0.176,0.118,0.235,0.373,7,19.4,ebankde01,0,62,,SF,0,473604,9.5,,,0,,0,1.8,4,,LAL,0.098,5,0.4,0.667,2,0.5,13.0,27,0.507,8.9,6,46,0.413,19,0.684,25.9,-0.1,215,0.4,0.144,14.7,83,2.2,23,,big-east,,18.0,176,2.1,0.462,315,0.457,144,0.483,152,0.77,117,34,31,6-9,1161,,9.5,99,2.6,54,,devin-ebanks-1,408,419.0,Forward,1.9,36,west-virginia,0.095,30,0.1,3,13.6,275,0.527,16.2,75,285,0.495,141,20.1,215,4.6,0.16
