,name,NBA_and_ones,NBA_assist_percentage,NBA_assists,NBA_block_percentage,NBA_blocking_fouls,NBA_blocks,NBA_box_plus_minus,NBA_center_percentage,NBA_defensive_box_plus_minus,NBA_defensive_rebound_percentage,NBA_defensive_rebounds,NBA_defensive_win_shares,NBA_dunks,NBA_effective_field_goal_percentage,NBA_field_goal_attempts,NBA_field_goal_perc_sixteen_foot_plus_two_pointers,NBA_field_goal_perc_ten_to_sixteen_feet,NBA_field_goal_perc_three_to_ten_feet,NBA_field_goal_perc_zero_to_three_feet,NBA_field_goal_percentage,NBA_field_goals,NBA_free_throw_attempt_rate,NBA_free_throw_attempts,NBA_free_throw_percentage,NBA_free_throws,NBA_games_played,NBA_games_started,NBA_half_court_heaves,NBA_half_court_heaves_made,NBA_height,NBA_lost_ball_turnovers,NBA_minutes_played,NBA_nationality,NBA_net_plus_minus,NBA_offensive_box_plus_minus,NBA_offensive_fouls,NBA_offensive_rebound_percentage,NBA_offensive_rebounds,NBA_offensive_win_shares,NBA_on_court_plus_minus,NBA_other_turnovers,NBA_passing_turnovers,NBA_percentage_field_goals_as_dunks,NBA_percentage_of_three_pointers_from_corner,NBA_percentage_shots_three_pointers,NBA_percentage_shots_two_pointers,NBA_percentage_sixteen_foot_plus_two_pointers,NBA_percentage_ten_to_sixteen_footers,NBA_percentage_three_to_ten_footers,NBA_percentage_zero_to_three_footers,NBA_personal_fouls,NBA_player_efficiency_rating,NBA_player_id,NBA_point_guard_percentage,NBA_points,NBA_points_generated_by_assists,NBA_position,NBA_power_forward_percentage,NBA_salary,NBA_shooting_distance,NBA_shooting_fouls,NBA_shooting_fouls_drawn,NBA_shooting_guard_percentage,NBA_shots_blocked,NBA_small_forward_percentage,NBA_steal_percentage,NBA_steals,NBA_take_fouls,NBA_team_abbreviation,NBA_three_point_attempt_rate,NBA_three_point_attempts,NBA_three_point_percentage,NBA_three_point_shot_percentage_from_corner,NBA_three_pointers,NBA_three_pointers_assisted_percentage,NBA_total_rebound_percentage,NBA_total_rebounds,NBA_true_shooting_percentage,NBA_turnover_percentage,NBA_turnovers,NBA_two_point_attempts,NBA_two_point_percentage,NBA_two_pointers,NBA_two_pointers_assisted_percentage,NBA_usage_percentage,NBA_value_over_replacement_player,NBA_weight,NBA_win_shares,NBA_win_shares_per_48_minutes,NCAAB_assist_percentage,NCAAB_assists,NCAAB_block_percentage,NCAAB_blocks,NCAAB_box_plus_minus,NCAAB_conference,NCAAB_defensive_box_plus_minus,NCAAB_defensive_rebound_percentage,NCAAB_defensive_rebounds,NCAAB_defensive_win_shares,NCAAB_effective_field_goal_percentage,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_minutes_played,NCAAB_offensive_box_plus_minus,NCAAB_offensive_rebound_percentage,NCAAB_offensive_rebounds,NCAAB_offensive_win_shares,NCAAB_personal_fouls,NCAAB_player_efficiency_rating,NCAAB_player_id,NCAAB_points,NCAAB_points_produced,NCAAB_position,NCAAB_steal_percentage,NCAAB_steals,NCAAB_team_abbreviation,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_three_point_percentage,NCAAB_three_pointers,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_true_shooting_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_two_pointers,NCAAB_usage_percentage,NCAAB_weight,NCAAB_win_shares,NCAAB_win_shares_per_40_minutes
0,Kevon Looney,,0.0,0,0.0,,0,-9.5,0,-8.2,29.1,6,0.0,1,0.643,7,,0.5,0.0,1.0,0.571,4,0.0,0,,0,5,0,0,0,6-9,,21,United States of America,,-1.2,,21.8,4,0.1,,,,0.143,0.0,0.286,0.714,0.0,0.286,0.143,0.286,2,18.6,looneke01,0,9,,C,0,1131960.0,12.1,,,0,,0,0.0,0,,GSW,0.286,2,0.5,,1,1.0,25.6,10,0.643,12.5,1,5,0.6,3,0.333,16.5,0.0,220,0.1,0.192,9.1,51,3.3,32,8.2,pac-12,4.0,21.0,209,2.0,0.505,321,0.47,151,0.458,147,0.626,92,36,36,6-9,1113,4.2,12.2,122,2.8,104,21.9,kevon-looney-1,416,428,Forward,2.5,46,ucla,0.165,53,0.415,22,16.6,331,0.532,10.3,45,268,0.481,129,19.7,220,4.8,0.172
1,Josh Huestis,,0.0,0,2.8,,2,-7.4,0,-2.5,15.0,8,0.1,1,0.583,12,0.0,0.0,0.0,1.0,0.417,5,0.333,4,0.0,0,5,0,0,0,6-7,,55,United States of America,,-4.9,,4.2,2,0.0,,,,0.083,0.333,0.5,0.5,0.167,0.083,0.167,0.083,3,6.7,huestjo01,0,14,,PF,0,1140240.0,17.4,,,0,,0,0.9,1,,OKC,0.5,6,0.667,0.5,4,1.0,9.9,10,0.509,17.9,3,6,0.167,1,1.0,13.0,-0.1,230,0.0,0.01,6.8,43,5.9,69,6.1,pac-12,4.7,18.4,204,2.1,0.488,346,0.451,156,0.295,102,0.627,64,36,36,6-7,1266,1.4,8.8,91,1.9,76,17.3,josh-huestis-1,402,413,Forward,1.0,21,stanford,0.223,77,0.338,26,13.7,295,0.51,9.8,43,269,0.483,130,18.0,230,4.0,0.126
2,Cameron Payne,,22.5,108,0.7,,6,-1.3,0,-0.9,11.2,76,0.8,1,0.475,278,0.5,0.489,0.426,0.472,0.41,114,0.086,24,0.792,19,57,1,1,0,6-3,,698,United States of America,,-0.4,,1.5,9,0.6,,,,0.004,0.279,0.399,0.601,0.115,0.162,0.194,0.129,80,12.9,payneca01,0,283,,PG,0,2021520.0,15.3,,,0,,0,2.6,36,,OKC,0.399,111,0.324,0.355,36,0.778,6.6,85,0.49,13.2,44,167,0.467,78,0.141,20.3,0.1,190,1.4,0.093,40.0,209,1.6,17,8.9,ovc,0.3,10.6,108,1.8,0.534,537,0.456,245,0.315,169,0.787,133,35,35,6-2,1127,8.6,2.2,21,5.5,72,30.1,cameron-payne-1,707,716,Guard,3.6,68,murray-state,0.415,223,0.377,84,6.6,129,0.573,12.4,87,314,0.513,161,31.5,180,7.3,0.258
3,Willie Cauley-Stein,,3.8,37,3.8,,66,0.7,0,1.5,16.6,218,1.4,81,0.563,339,0.263,0.364,0.457,0.667,0.563,191,0.369,125,0.648,81,66,39,0,0,7-0,,1412,United States of America,,-0.8,,10.3,134,2.4,,,,0.286,1.0,0.006,0.994,0.056,0.065,0.271,0.602,146,15.3,caulewi01,0,463,,C,0,3398280.0,3.7,,,0,,0,1.6,48,,SAC,0.006,2,0.0,0.0,0,,13.5,352,0.588,10.5,46,337,0.567,191,0.759,13.2,1.0,240,3.8,0.13,7.4,38,7.1,67,14.7,sec,10.0,17.3,162,3.4,0.572,236,0.572,135,0.542,128,0.617,79,39,38,7-0,1012,4.7,11.1,89,2.6,78,23.8,willie-cauley-stein-1,349,344,Forward,2.9,47,kentucky,0.0,0,,0,14.5,251,0.588,13.9,48,236,0.572,135,17.8,240,6.0,0.239
4,Duje Dukan,,5.6,1,0.0,,0,-6.7,0,-2.8,9.0,2,0.0,0,0.3,10,0.0,,0.0,,0.2,2,0.0,0,,0,1,0,0,0,6-9,,24,Croatia,,-3.9,,9.1,2,0.0,,,,0.0,0.4,0.5,0.5,0.4,0.0,0.1,0.0,2,4.2,dukandu01,0,6,,SF,0,525093.0,20.4,,,0,,0,2.0,1,,SAC,0.5,5,0.4,0.0,2,1.0,9.0,4,0.3,0.0,0,5,0.0,0,,17.7,0.0,220,0.0,-0.057,7.5,24,0.5,3,4.2,big-ten,1.0,14.9,70,0.9,0.481,155,0.387,60,0.297,46,0.674,31,38,0,6-10,605,3.2,6.3,28,1.0,48,13.2,duje-dukan-1,180,180,Forward,0.9,8,wisconsin,0.587,91,0.319,29,10.7,98,0.509,12.4,25,64,0.484,31,19.4,218,1.8,0.121
5,Sam Dekker,,0.0,0,0.0,,0,0.5,0,5.8,18.5,1,0.0,0,,0,,,,,,0,,0,,0,3,0,0,0,6-9,,6,United States of America,,-5.3,,0.0,0,0.0,,,,,,,,,,,,0,10.8,dekkesa01,0,0,,PF,0,1646400.0,,,,0,,0,8.2,1,,HOU,,0,,,0,,9.2,1,,,0,0,,0,,0.0,0.0,230,0.0,0.116,8.6,49,1.5,18,10.0,big-ten,1.8,14.8,143,1.9,0.586,406,0.525,213,0.278,113,0.708,80,40,40,6-9,1239,8.2,8.4,77,5.1,42,25.5,sam-dekker-1,556,519,Forward,1.1,21,wisconsin,0.372,151,0.331,50,11.7,220,0.605,7.3,36,255,0.639,163,23.2,230,7.0,0.225
6,Montrezl Harrell,,7.2,17,2.4,,11,-1.9,0,-0.7,11.7,40,0.2,26,0.644,90,0.333,0.0,0.524,0.75,0.644,58,0.511,46,0.522,24,39,1,0,0,6-7,,379,United States of America,,-1.2,,7.2,25,0.7,,,,0.311,0.0,0.011,0.989,0.067,0.022,0.233,0.667,48,14.6,harremo01,0,140,,C,0,1000000.0,3.4,,,0,,0,1.4,11,,HOU,0.011,1,0.0,,0,,9.5,65,0.635,13.4,17,89,0.652,58,0.638,14.5,0.0,240,0.9,0.118,9.2,49,3.7,42,9.2,acc,4.7,19.1,210,3.0,0.578,376,0.566,213,0.508,191,0.597,114,35,35,6-8,1229,4.6,10.0,111,3.6,74,24.8,montrezl-harrell-1,549,521,Forward,1.6,33,louisville,0.098,37,0.243,9,14.5,321,0.588,12.9,69,339,0.602,204,22.3,235,6.6,0.214
7,Coty Clarke,,0.0,0,0.0,,0,-9.5,0,-9.7,18.0,1,0.0,0,0.75,4,0.0,,0.0,,0.5,2,0.0,0,,0,3,0,0,0,6-7,,6,United States of America,,0.2,,0.0,0,0.0,,,,0.0,0.5,0.5,0.5,0.25,0.0,0.25,0.0,0,23.9,clarkco01,0,6,,SF,0,61776.0,17.0,,,0,,0,0.0,0,,BOS,0.5,2,1.0,1.0,2,1.0,8.8,1,0.75,20.0,1,2,0.0,0,,35.5,0.0,232,0.0,0.025,20.1,81,2.4,18,9.2,sec,5.2,20.3,143,1.9,0.494,238,0.441,105,0.441,105,0.81,85,34,30,6-7,752,4.0,6.8,47,1.9,103,21.7,coty-clarke-1,320,334,Forward,3.7,51,arkansas,0.244,58,0.431,25,13.6,190,0.556,13.5,45,180,0.444,80,21.0,232,3.7,0.199
8,John Holland,,3.9,5.0,1.0,,2.0,-7.3,0,-2.6,11.4,18.0,0.1,2.0,0.381,59.0,0.0,0.2,0.333,0.364,0.288,17.0,0.22,13.0,0.692,9.0,24.0,0.0,0.0,0.0,6-5,,174.0,United States of America,,-4.7,,3.9,6.0,-0.3,,,,0.051,0.25,0.61,0.39,0.068,0.085,0.051,0.186,10.0,5.9,hollajo02,0,54.0,,SF,0,,17.7,,,0,,0,2.0,7.0,,CLE,0.61,36.0,0.306,0.222,11.0,0.818,7.7,24.0,0.417,11.0,8.0,23.0,0.261,6.0,0.5,18.5,-0.2,205,-0.2,-0.05,13.1,54,1.1,11,2.6,america-east,-1.2,14.6,152,1.7,0.458,526,0.386,203,0.38,200,0.86,172,34,32,6-5,1153,3.8,4.4,44,3.6,79,24.5,john-holland-1,654,598.0,Forward,2.6,47,boston-university,0.437,230,0.33,76,9.6,196,0.527,10.5,73,296,0.429,127,32.4,205,5.3,0.185
9,Jordan Mickey,,2.6,1,15.1,,11,-3.2,0,4.1,13.3,7,0.1,2,0.364,22,0.0,0.5,0.0,0.467,0.364,8,0.455,10,0.5,5,16,0,0,0,6-8,,57,United States of America,,-7.3,,11.0,6,0.0,,,,0.136,,0.0,1.0,0.091,0.091,0.136,0.682,5,15.3,mickejo01,0,21,,PF,0,1200000.0,3.7,,,0,,0,0.0,0,,BOS,0.0,0,,,0,,12.1,13,0.398,3.6,1,22,0.364,8,0.5,20.5,0.0,235,0.1,0.068,7.6,40,9.6,112,5.5,sec,6.3,19.6,209,2.6,0.505,379,0.504,191,0.388,147,0.646,95,31,31,6-8,1081,-0.8,10.5,99,1.2,81,21.7,jordan-mickey-1,478,454,Forward,1.5,29,louisiana-state,0.024,9,0.111,1,15.3,308,0.533,18.4,101,370,0.514,190,25.0,235,3.9,0.143
10,Terry Rozier,,16.5,37,0.3,,1,-6.6,0,-0.8,13.5,39,0.3,0,0.302,106,0.316,0.214,0.2,0.355,0.274,29,0.094,10,0.8,8,39,0,0,0,6-1,,311,United States of America,,-5.9,,8.1,24,-0.6,,,,0.0,0.333,0.255,0.745,0.179,0.132,0.142,0.292,23,5.0,roziete01,0,72,,PG,0,1824360.0,12.4,,,0,,0,0.9,6,,BOS,0.255,27,0.222,0.333,6,1.0,10.8,63,0.326,14.7,19,79,0.291,23,0.261,17.7,-0.4,190,-0.3,-0.047,19.7,108,0.5,6,8.4,acc,3.7,13.9,157,3.0,0.457,521,0.411,214,0.338,176,0.79,139,36,35,6-1,1260,4.7,3.8,43,3.0,62,22.1,terry-rozier-1,615,591,Guard,3.5,72,louisville,0.301,157,0.306,48,8.8,200,0.509,11.6,79,364,0.456,166,27.8,190,6.0,0.191
11,Cliff Alexander,,0.0,0.0,4.4,,2.0,-7.0,0,-1.3,12.1,4.0,0.0,2.0,0.5,10.0,0.5,0.0,0.0,1.0,0.5,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,6-8,,36.0,United States of America,,-5.7,,6.0,2.0,0.0,,,,0.2,,0.0,1.0,0.2,0.1,0.3,0.4,1.0,11.6,alexacl01,0,10.0,,,0,525093.0,7.4,,,0,,0,1.4,1.0,,POR,0.0,0.0,,,0.0,,9.0,6.0,0.5,9.1,1.0,10.0,0.5,5.0,0.4,13.3,0.0,245,0.0,0.052,5.4,12,7.7,37,8.1,big-12,5.0,19.9,93,1.0,0.566,129,0.566,73,0.612,79,0.671,53,28,6,6-8,492,3.2,13.3,55,1.3,57,23.2,cliff-alexander-1,199,192,Forward,0.6,5,kansas,0.0,0,,0,16.8,148,0.598,14.4,28,129,0.566,73,20.1,240,2.3,0.188
12,Pat Connaughton,,9.9,10,0.0,,0,-8.2,0,-2.4,15.9,21,0.1,0,0.316,49,0.2,0.0,0.167,0.429,0.265,13,0.102,5,1.0,5,34,0,0,0,6-5,,143,United States of America,,-5.8,,8.3,11,-0.3,,,,0.0,0.143,0.429,0.571,0.102,0.061,0.122,0.286,6,4.6,connapa01,0,36,,SG,0,525093.0,14.2,,,0,,0,0.7,2,,POR,0.429,21,0.238,0.0,5,0.8,12.1,32,0.352,16.3,10,28,0.286,8,0.5,18.7,-0.2,209,-0.2,-0.076,7.6,57,2.7,36,8.2,acc,2.1,20.4,241,1.9,0.597,356,0.466,166,0.18,64,0.781,50,38,38,6-5,1351,6.1,4.2,41,3.5,75,19.4,pat-connaughton-1,475,436,Guard,1.3,27,notre-dame,0.618,220,0.423,93,13.0,282,0.615,10.2,44,136,0.537,73,17.7,218,5.4,0.16
13,Branden Dawson,,0.0,0,2.7,,1,-6.6,0,-1.7,7.4,2,0.0,0,0.4,5,,,0.5,0.333,0.4,2,0.2,1,1.0,1,6,0,0,0,6-6,,29,United States of America,,-4.9,,7.6,2,0.0,,,,0.0,,0.0,1.0,0.0,0.0,0.4,0.6,2,7.1,dawsobr01,0,5,,PF,0,525093.0,2.8,,,0,,0,0.0,0,,LAC,0.0,0,,,0,,7.5,4,0.46,0.0,0,5,0.4,2,0.5,8.5,0.0,225,0.0,0.069,12.2,59,6.3,58,9.5,big-ten,7.3,23.5,216,2.5,0.535,340,0.535,182,0.306,104,0.49,51,35,32,6-6,1055,2.2,11.9,102,2.0,72,23.8,branden-dawson-1,415,408,Guard,2.5,42,michigan-state,0.0,0,,0,17.9,318,0.533,14.7,67,340,0.535,182,23.4,225,4.4,0.168
14,Alex Stepheson,,4.3,2,6.0,,5,-3.2,0,-1.1,14.5,9,0.1,0,0.333,27,0.0,0.333,0.125,0.467,0.333,9,0.444,12,0.333,4,8,0,0,0,6-10,,73,United States of America,,-2.0,,28.5,19,0.0,,,,0.0,,0.0,1.0,0.037,0.111,0.296,0.556,12,14.8,stephal01,0,22,,PF,0,61776.0,4.1,,,0,,0,0.7,1,,TOT,0.0,0,,,0,,21.8,28,0.341,0.0,0,27,0.333,9,0.333,19.8,0.0,270,0.1,0.068,1.1,6.0,3.8,39.0,2.1,pac-10,2.6,21.8,203.0,2.0,0.552,248.0,0.552,137.0,0.464,115.0,0.513,59.0,34.0,34.0,6-9,1118.0,-0.5,11.8,110.0,1.7,77.0,17.4,alex-stepheson-1,333.0,331.0,Forward,0.7,13.0,southern-california,0.0,0.0,,0.0,16.8,313.0,0.55,14.7,52.0,248.0,0.552,137.0,17.1,235,3.7,0.132
15,Jordan McRae,,20.9,25,0.4,,1,-4.3,0,-3.3,9.2,16,0.1,2,0.5,78,0.25,0.429,0.182,0.609,0.436,34,0.359,28,0.75,21,22,1,0,0,6-5,,195,United States of America,,-0.9,,2.3,4,0.2,,,,0.026,0.227,0.282,0.718,0.103,0.179,0.141,0.295,17,14.2,mcraejo01,0,99,,SG,0,172972.0,12.2,,,0,,0,0.7,3,,TOT,0.282,22,0.455,0.4,10,0.5,5.7,20,0.548,14.2,15,56,0.429,24,0.208,23.9,-0.1,179,0.4,0.087,17.6,91,3.3,38,8.4,sec,1.3,10.0,102,2.0,0.513,512,0.436,223,0.414,212,0.788,167,37,37,6-5,1190,7.1,2.6,26,4.3,78,24.0,jordan-mcrae-1,692,623,Guard,1.3,25,tennessee,0.439,225,0.351,79,6.3,128,0.565,11.2,77,287,0.502,144,30.4,200,6.2,0.21
16,Jarell Eddie,,5.0,5.0,0.6,,1.0,-4.7,0,-3.2,16.3,21.0,0.1,0.0,0.423,65.0,0.5,0.0,0.2,0.0,0.308,20.0,0.123,8.0,1.0,8.0,26.0,0.0,1.0,0.0,6-7,,147.0,United States of America,,-1.5,,1.5,2.0,0.0,,,,0.0,0.213,0.723,0.277,0.123,0.031,0.077,0.046,5.0,11.0,eddieja01,0,63.0,,SF,0,561716.0,22.1,,,0,,0,1.7,5.0,,WAS,0.723,47.0,0.319,0.3,15.0,0.933,8.8,23.0,0.46,1.4,1.0,18.0,0.278,5.0,0.8,20.7,-0.1,218,0.1,0.046,9.5,38,1.3,11,1.1,acc,-0.3,14.7,135,1.1,0.462,377,0.355,134,0.215,81,0.778,63,31,30,6-7,1011,1.4,3.7,32,1.0,48,13.9,jarell-eddie-1,411,372,Forward,0.7,11,virginia-tech,0.565,213,0.376,80,9.4,167,0.495,11.3,53,164,0.329,54,25.0,220,2.1,0.082
