name,NBA_assists,NBA_blocks,NBA_points,NBA_steals,NBA_total_rebounds,NCAAB_assists,NCAAB_blocks,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_personal_fouls,NCAAB_steal_percentage,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_total_rebound_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_win_shares,Center,Forward,Guard
Landry Fields,1.2390055789658287,0.26317068066163174,1.9736251146635644,2.4237269045707226,3.254271083318067,0.08051331913157599,-0.09867402628317055,1.2874553373582984,0.12852074333758182,1.4666612687711726,0.6116210549019101,1.836210798311427,-0.3443831067706197,1.4680717492538078,-0.3026364342838311,0.15027439218958558,0.15710949815587072,-0.5160824461639067,0.5788151004007762,-0.5750732185264851,-0.2558029924094056,0.5312907831342724,-0.6442246276854477,0.5421651393532858,1.8863009645778697,0.7658385341970148,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Andy Rautins,-0.5638908890320767,-0.6312688947020635,-0.7397360422104564,-0.7490810166195282,-0.7857464049760626,1.4537694160469286,-0.7382279003407576,-0.5643639834995281,-0.6950981048117139,-0.8056256716673342,-1.0066582916104136,-1.123972706538455,0.8243568897253577,-0.9105533094511531,0.323713610390326,0.5099737351965722,-0.4607368429065419,0.05508967468633531,1.4408801435508678,2.898435080219371,1.704823220957401,-1.20873145475193,2.3760731209053874,1.1351582605209423,-2.261729165118005,0.10375507087549375,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Patrick Patterson,-0.11316677203260038,1.315452534030685,0.3607399656471946,-0.10648700726454077,0.7603372107364985,-0.8070790361917617,0.8794671928637272,0.117885239974408,1.474820783581621,0.8311911922078614,-0.4901861597447787,-0.2998307080291129,-0.3836684848040969,-0.4053586067173561,0.950063655064483,0.8696730782035588,0.7749558392182834,-0.7237813992003583,-0.9297987251118847,-0.4992087627036428,-0.4708394158109263,0.11200831617374167,-1.5032083910461438,-1.1182155999161527,0.5757969400860412,1.367732591762034,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Gani Lawal,-0.599474371953088,-0.6312688947020635,-0.7672479424068976,-0.789243142204215,-0.7935156693766283,-1.1587665732066692,0.8042255606216581,-0.3162733567817332,0.7462348794495536,0.003154425776880109,1.8167226959217253,1.2475379422333257,-1.5622298258084437,0.3734832266639143,0.532496958615045,0.629873516198901,0.7749558392182834,0.05508967468633531,-1.1453149858994076,-1.4800277986989625,-1.3309851094170093,1.2650351003152014,0.353304903959232,0.34450076563073356,0.7923149963064303,-0.3777601751765221,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Cole Aldrich,-0.5520297280584063,-0.26297024602289487,-0.7053461669649048,-0.5884325142807814,-0.5215914153568311,-0.890814164052454,3.6634075858202824,-0.8478961283198652,1.2689160715442989,-0.4397489609187611,1.2451602033237559,0.18792680129274275,-0.5113459634129013,-0.026462579667008324,0.532496958615045,0.629873516198901,1.3928021802806958,0.8858854868321419,-0.4987662035368386,-1.4962844678038574,-1.3436343107935693,1.7681740606678378,0.0207950600776719,-0.525222478748496,0.1199694533062748,0.7056491284405131,3.8001547956087567,-0.8795729922232997,-0.9980970487037716
Jeremy Lin,-0.10130561105892995,-0.15774206068598956,-0.5058848905407055,0.5361070020904467,-0.5293606797573968,0.7838883931613908,0.12705087044303662,-0.6529677787558835,0.5878466394208428,-0.4397489609187611,1.8167226959217253,0.810238106289593,0.23507621922318475,0.8155285915559868,-0.9289864789579881,-0.209424950817401,-1.3875063545001607,0.5224123190183515,2.626219577882244,0.1673146705970441,-0.2305045896562855,-0.621736001007187,1.4062527429175047,0.8188952625648588,-0.6321458998803398,0.34451269390150113,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Ekpe Udoh,-0.1250279330062708,3.893543074784866,0.04435311338811995,0.09432362065889281,0.6127211871257514,0.21448952370868354,3.9643741147885585,0.25965131238457656,0.12852074333758182,0.3690311365254533,-0.0288043886114778,0.23838447467086574,-0.4524178963626838,0.036686758174716304,0.532496958615045,0.629873516198901,1.0838790097494897,0.6262617955365773,-0.7142824643243617,-1.1332188577945401,-1.014755075003008,0.8457526333546703,0.46414151858641817,0.7002966383313275,1.2481424830861967,0.8260279399535165,3.8001547956087567,-0.8795729922232997,-0.9980970487037716
Dexter Pittman,-0.599474371953088,-0.6312688947020635,-0.7603699673577873,-0.789243142204215,-0.7702078761749314,-1.1252725220623923,1.3309169863161414,-1.2997754841272775,2.7260878798084356,-0.6130589817996641,1.458635351161552,-0.2157345857322412,-1.719371337942357,-0.7211052959259793,0.11493026216560696,0.3900739541942433,1.0838790097494897,0.782036010313916,-1.1453149858994076,-1.4962844678038574,-1.3436343107935693,0.9086450033987501,1.0183245917223511,-0.3670909797704543,-0.4612105923379274,-0.7990860154720355,3.8001547956087567,-0.8795729922232997,-0.9980970487037716
Derrick Caracter,-0.516446245137395,-0.10512796801753688,-0.4886899529179297,-0.628594639865468,-0.459437300152306,-0.9075611896245924,-0.1739156585252396,-0.8833376464224073,1.3481101915586542,-0.45900562990552807,0.2535337101417364,-0.4848421770822305,-0.5800953749714882,-0.6158563995231049,-1.3465531754074263,-1.048723417833703,0.7749558392182834,0.3666381042410128,0.04002444843196879,-1.1874077548108561,-1.1538962901451686,1.1602144835750687,1.5170893575446909,0.3049678908862231,-0.09654860291411425,-0.7990860154720355,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Devin Ebanks,-0.5757520500057471,-0.3681984313598002,-0.5540307158844777,-0.628594639865468,-0.5837455305613561,-0.0199688343012547,-0.1739156585252396,-0.4048771520380885,-0.3941604487571626,-0.5360323058525961,0.4394636776133649,0.07019223007712243,0.3823963868487283,0.16298543385816555,0.11493026216560696,0.03037461118725671,0.7749558392182834,-1.0872545670141487,-0.17549181235555436,-0.9814899461488552,-0.964158269496768,0.42647016639413965,0.6026872868704014,0.22590214139720224,0.347883196696158,-0.07681314639401246,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Lazar Hayward,-0.267361864690316,-0.26297024602289487,-0.21700993847807215,-0.30729763518797437,-0.2496671613370339,-0.5391266270375465,-0.36201973913041224,1.3583383735633827,-0.7901310488289385,0.9659878751152305,-1.1857019639905007,-0.35028838140723584,1.0993545359597054,-0.0475123589475832,0.11493026216560696,0.3900739541942433,-0.15181367237533555,2.080154466791739,1.656396404338391,0.4653536041867824,1.0091171452465988,0.6570755232224315,-1.0044436252238038,-0.09036085655888124,0.837897744984407,0.4047020996580034,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Dominique Jones,-0.37411231345334983,-0.47342661669670555,-0.6228104663755809,-0.5884325142807814,-0.5992840593624874,0.5996711118678678,-0.3243989230093777,1.1722704035250366,-0.5050322167772601,0.9659878751152305,1.052343940760586,2.2566914097957853,0.09757739610601082,2.0995651276710543,-0.09385308605911205,0.27017417319191445,-0.7696600134377481,0.9378102250912548,0.7943313611882988,0.3407191410492552,0.7687823190919579,-0.4540230142229746,-0.17316901551990443,1.095625385776432,0.8151063706454186,0.8862173457100188,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Xavier Henry,-0.38597347442702024,-0.47342661669670555,-0.19981500085529635,-0.34745976077266105,-0.5060528865556998,-0.5223796014654081,-0.36201973913041224,-0.05932235053830268,-0.37832162475429243,-0.18941226409078996,-0.64857094685024,-0.5521190749197278,0.5100738654575315,-0.4053586067173561,0.532496958615045,0.629873516198901,-0.15181367237533555,-0.46415770790479377,1.1176057523695835,1.0289181331564687,0.7434839163388378,-0.621736001007187,0.10392252104806203,-0.011295107069860366,-0.7461027715752814,0.10375507087549375,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Greivis Vásquez,1.191560935071147,-0.42081252402825287,0.08905995120733702,0.09432362065889281,-0.226359368135337,2.073409362216051,-0.5877446358566194,1.3494779940377473,-0.8376475208375526,0.9274745371416965,-0.7243201928571998,0.2215652502114914,1.2368533590768795,0.605030798750238,-0.09385308605911205,0.15027439218958558,-0.15181367237533555,-0.30838349312745506,0.7943313611882988,0.5303802806063614,1.085012353505959,-0.9152337278795584,0.4918506722432152,1.649085632199578,0.7581279347979478,0.6454597226840108,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Paul George,0.17150109133548994,0.7366975146777057,0.8697101192813582,1.7008086440463617,0.9467995563500737,0.06376629355943754,-0.13629484240420509,0.020421065192417126,-0.9168416408519079,-0.34346561598492603,-0.38000543828010974,-0.2661922591103642,1.747563273512097,0.22613477169989019,-0.9289864789579881,-0.209424950817401,0.15710949815587072,0.4704875807592386,2.0874289259134367,0.9964047949466792,0.7687823190919579,0.2587571796099276,1.1291612063495382,0.9770267615429006,-0.6663329613888223,-0.3175707694200199,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Lance Stephenson,-0.35038999150600897,-0.6312688947020635,-0.6400054039983567,-0.628594639865468,-0.6536689101664469,-0.003221808729116254,-0.8134695325828266,0.0647229628205948,-0.6634204568059708,-0.18941226409078996,-0.6623435370333239,-0.4848421770822305,-0.6586661310384447,-0.6369061788036797,0.11493026216560696,0.15027439218958558,-0.4607368429065419,-0.46415770790479377,-0.17549181235555436,-0.42334430688080027,-0.4202426103046862,-0.20245353404665634,0.5472689795568083,0.46309938986426485,0.46184006839109965,-1.1602224500110472,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Jeremy Evans,-0.3148065085849977,0.26317068066163174,-0.15510816303607927,-0.10648700726454077,-0.0398970225217618,-0.9912963174852846,1.2556753540740724,-1.326356622704184,2.64689375979408,-0.6708289887599652,0.15023928376860926,-0.9221420130259631,-0.42295386283757624,-0.9526528680123029,0.11493026216560696,0.3900739541942433,0.7749558392182834,1.1974339163868193,-0.17549181235555436,-1.1874077548108561,-1.1918438942748488,0.8457526333546703,-0.4502605520878709,-1.3158799736387048,-0.6321458998803398,0.10375507087549375,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Derrick Favors,-0.13688909397994123,2.9464894067527174,1.0657324081810022,0.3754584997516998,2.407421263656413,-0.7903320106196232,1.7447459636475213,-0.5998055016020702,2.0450184476849795,0.13795110868424917,0.47389515307107394,-0.08118079005724656,-1.0024131888313796,-0.4053586067173561,0.532496958615045,0.5099737351965722,1.0838790097494897,0.9897349633503677,-0.2832499427493157,-1.4800277986989625,-1.3309851094170093,1.0344297434869092,1.6556351258286741,0.8188952625648588,0.42765300688261715,0.04356566511899151,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Gordon Hayward,0.3612796669142168,0.3683988659985371,0.5670792171205041,0.41562062533638655,0.28641208230199483,-0.3716563713161621,0.08943005432200209,0.10902486044877246,-0.283288680737066,0.022411094763647117,1.100548006401378,1.1466225954770797,0.9618557128425327,1.4680717492538078,0.741280306839764,0.7497732972012299,0.46603266868707705,0.15893915120456115,-0.06773368196179279,0.8284192141960994,0.6802379094560376,0.8876808800507237,0.3255957503024349,0.6212308888423066,-0.47260627950742157,1.3075431860055324,-0.2631471752560035,1.136915308725313,-0.9980970487037716
DeMarcus Cousins,1.8202024666756798,2.9464894067527174,3.1635147981596496,2.624537532494156,4.63720014661875,-0.7735849850474849,1.4814002508002797,0.07358334234623033,1.2055607755328128,0.6578811713269583,2.112833384858023,2.021222267364545,-1.2479468015406188,1.110225501484035,0.950063655064483,0.7497732972012299,1.3928021802806958,2.4436276346055292,0.36329883961325304,-1.4095822325777516,-1.267739102534209,2.292277144368501,-0.11775070820631134,0.34450076563073356,1.2367467959167024,1.0667855629795244,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Hassan Whiteside,-0.599474371953088,-0.6312688947020635,-0.7672479424068976,-0.789243142204215,-0.7935156693766283,-1.2425017010673614,5.8077941047192505,-0.36943563393554635,0.6670407594351981,-0.09312891915695493,1.1487520720421704,0.658865086155224,-1.4050883136745318,0.01563697889414143,0.11493026216560696,-0.9288236368313743,1.7017253508119021,0.3666381042410128,-0.9297987251118847,-1.4095822325777516,-1.280388303910769,1.411783963751387,-0.11775070820631134,-0.20895948079241256,0.6783581246114887,-0.13700255215051418,3.8001547956087567,-0.8795729922232997,-0.9980970487037716
Solomon Alabi,-0.5757520500057471,-0.5260407093651582,-0.7466140172595667,-0.7089188910348415,-0.6847459677687094,-1.1420195476345307,1.7823667797685558,-0.9896622007300337,0.8254289994639089,-0.7478556647070332,0.8733002683804989,-0.19891536127286688,0.6181086550495979,-0.026462579667008324,-0.3026364342838311,0.15027439218958558,2.0106485213431085,0.0031649364272224043,-0.7142824643243617,-1.4962844678038574,-1.3436343107935693,0.468398413090193,0.6303964405271985,-0.32755810502594385,-0.06236154140563177,-0.25738136366351816,3.8001547956087567,-0.8795729922232997,-0.9980970487037716
