,name,NBA_and_ones,NBA_assist_percentage,NBA_assists,NBA_block_percentage,NBA_blocking_fouls,NBA_blocks,NBA_box_plus_minus,NBA_center_percentage,NBA_defensive_box_plus_minus,NBA_defensive_rebound_percentage,NBA_defensive_rebounds,NBA_defensive_win_shares,NBA_dunks,NBA_effective_field_goal_percentage,NBA_field_goal_attempts,NBA_field_goal_perc_sixteen_foot_plus_two_pointers,NBA_field_goal_perc_ten_to_sixteen_feet,NBA_field_goal_perc_three_to_ten_feet,NBA_field_goal_perc_zero_to_three_feet,NBA_field_goal_percentage,NBA_field_goals,NBA_free_throw_attempt_rate,NBA_free_throw_attempts,NBA_free_throw_percentage,NBA_free_throws,NBA_games_played,NBA_games_started,NBA_half_court_heaves,NBA_half_court_heaves_made,NBA_height,NBA_lost_ball_turnovers,NBA_minutes_played,NBA_nationality,NBA_net_plus_minus,NBA_offensive_box_plus_minus,NBA_offensive_fouls,NBA_offensive_rebound_percentage,NBA_offensive_rebounds,NBA_offensive_win_shares,NBA_on_court_plus_minus,NBA_other_turnovers,NBA_passing_turnovers,NBA_percentage_field_goals_as_dunks,NBA_percentage_of_three_pointers_from_corner,NBA_percentage_shots_three_pointers,NBA_percentage_shots_two_pointers,NBA_percentage_sixteen_foot_plus_two_pointers,NBA_percentage_ten_to_sixteen_footers,NBA_percentage_three_to_ten_footers,NBA_percentage_zero_to_three_footers,NBA_personal_fouls,NBA_player_efficiency_rating,NBA_player_id,NBA_point_guard_percentage,NBA_points,NBA_points_generated_by_assists,NBA_position,NBA_power_forward_percentage,NBA_salary,NBA_shooting_distance,NBA_shooting_fouls,NBA_shooting_fouls_drawn,NBA_shooting_guard_percentage,NBA_shots_blocked,NBA_small_forward_percentage,NBA_steal_percentage,NBA_steals,NBA_take_fouls,NBA_team_abbreviation,NBA_three_point_attempt_rate,NBA_three_point_attempts,NBA_three_point_percentage,NBA_three_point_shot_percentage_from_corner,NBA_three_pointers,NBA_three_pointers_assisted_percentage,NBA_total_rebound_percentage,NBA_total_rebounds,NBA_true_shooting_percentage,NBA_turnover_percentage,NBA_turnovers,NBA_two_point_attempts,NBA_two_point_percentage,NBA_two_pointers,NBA_two_pointers_assisted_percentage,NBA_usage_percentage,NBA_value_over_replacement_player,NBA_weight,NBA_win_shares,NBA_win_shares_per_48_minutes,NCAAB_assist_percentage,NCAAB_assists,NCAAB_block_percentage,NCAAB_blocks,NCAAB_box_plus_minus,NCAAB_conference,NCAAB_defensive_box_plus_minus,NCAAB_defensive_rebound_percentage,NCAAB_defensive_rebounds,NCAAB_defensive_win_shares,NCAAB_effective_field_goal_percentage,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_minutes_played,NCAAB_offensive_box_plus_minus,NCAAB_offensive_rebound_percentage,NCAAB_offensive_rebounds,NCAAB_offensive_win_shares,NCAAB_personal_fouls,NCAAB_player_efficiency_rating,NCAAB_player_id,NCAAB_points,NCAAB_points_produced,NCAAB_position,NCAAB_steal_percentage,NCAAB_steals,NCAAB_team_abbreviation,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_three_point_percentage,NCAAB_three_pointers,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_true_shooting_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_two_pointers,NCAAB_usage_percentage,NCAAB_weight,NCAAB_win_shares,NCAAB_win_shares_per_40_minutes
0,Isaiah Canaan,,13.2,22,1.2,,4,-3.4,0,-2.1,7.1,17,0.2,0,0.46,87,0.333,0.0,0.25,0.5,0.356,31,0.333,29,0.724,21,22,0,0,0,6-0,,252,United States of America,,-1.4,,3.3,7,0.0,,,,0.0,0.309,0.632,0.368,0.069,0.011,0.046,0.23,25,9.5,canaais01,0,101,,PG,0,,18.7,,,0,,0,1.6,8,,HOU,0.632,55,0.327,0.353,18,0.778,5.3,24,0.506,17.4,21,32,0.406,13,0.308,21.0,-0.1,201,0.2,0.031,27.6,133,0.4,4,4.7,ovc,-1.7,10.0,91,1.3,0.525,499,0.431,215,0.371,185,0.822,152,31,30,6-1,1131,6.4,2.0,19,4.5,58,25.2,isaiah-canaan-1,676,650,Guard,2.5,47,murray-state,0.509,254,0.37,94,5.9,110,0.576,14.3,98,245,0.494,121,30.9,195,5.9,0.207
1,Robert Covington,,0.0,0,0.0,,0,-3.6,0,-4.9,9.3,3,0.0,0,0.571,14,1.0,,0.5,,0.429,6,0.0,0,,0,7,0,0,0,6-7,,34,United States of America,,1.3,,6.9,2,0.1,,,,0.0,0.364,0.786,0.214,0.071,0.0,0.143,0.0,3,15.0,covinro01,0,16,,SF,0,,21.6,,,0,,0,2.9,2,,HOU,0.786,11,0.364,0.5,4,1.0,8.2,5,0.571,6.7,1,3,0.667,2,1.0,19.3,0.0,211,0.1,0.122,10.0,30,5.9,39,6.6,ovc,2.9,20.4,118,1.3,0.503,294,0.435,128,0.384,113,0.85,96,23,21,6-9,712,3.6,10.9,65,2.3,64,27.9,robert-covington-1,392,364,Forward,4.1,50,tennessee-state,0.35,103,0.388,40,15.6,183,0.564,13.9,56,191,0.461,88,28.1,215,3.7,0.205
2,Troy Daniels,,11.4,5,0.0,,0,-1.2,0,-5.5,5.6,4,0.0,0,0.677,31,0.0,1.0,0.5,,0.484,15,0.0,0,,0,5,1,0,0,6-4,,75,United States of America,,4.3,,0.0,0,0.2,,,,0.0,0.16,0.806,0.194,0.032,0.032,0.129,0.0,6,16.0,danietr01,0,42,,SG,0,,22.4,,,0,,0,0.0,0,,HOU,0.806,25,0.48,0.25,12,0.75,3.0,4,0.677,8.8,3,6,0.5,3,0.333,19.9,0.0,205,0.2,0.15,4.5,23,0.4,3,6.5,atlantic-10,-0.4,12.8,89,1.4,0.591,357,0.417,149,0.076,27,0.704,19,36,36,6-4,947,6.9,2.6,23,2.9,76,18.5,troy-daniels-1,441,357,Guard,2.0,32,virginia-commonwealth,0.863,308,0.403,124,7.1,112,0.596,8.0,32,49,0.51,25,20.6,200,4.2,0.179
3,Gorgui Dieng,,7.2,39,4.6,,50,0.7,0,3.1,26.9,197,1.5,27,0.5,227,0.381,0.52,0.29,0.619,0.498,113,0.41,93,0.634,59,60,15,0,0,6-10,,818,Senegal,,-2.4,,13.4,103,0.7,,,,0.128,0.0,0.004,0.996,0.093,0.11,0.273,0.52,108,16.5,dienggo01,0,286,,C,0,1352640.0,5.5,,,0,,0,1.8,30,,MIN,0.004,1,1.0,,1,1.0,20.0,300,0.534,16.8,54,226,0.496,112,0.705,16.8,0.5,252,2.2,0.129,12.3,66,9.4,83,15.0,big-east,11.0,23.6,197,3.2,0.534,234,0.534,125,0.479,112,0.652,73,33,32,6-11,1026,4.0,12.9,113,2.5,85,23.8,gorgui-dieng-1,323,352,Center,2.6,44,louisville,0.0,0,,0,18.1,310,0.562,17.0,59,234,0.534,125,17.0,245,5.6,0.219
4,Robbie Hummel,,5.0,23.0,0.2,,2.0,-2.1,0,-0.7,16.6,97.0,0.6,2.0,0.469,177.0,0.292,0.563,0.273,0.692,0.379,67.0,0.09,16.0,0.938,15.0,53.0,5.0,0.0,0.0,6-8,,655.0,United States of America,,-1.4,,5.7,35.0,0.6,,,,0.011,0.438,0.503,0.497,0.271,0.09,0.062,0.073,57.0,9.6,hummero01,0,181.0,,,0,,19.4,,,0,,0,1.2,16.0,,MIN,0.503,89.0,0.36,0.256,32.0,1.0,11.0,132.0,0.492,5.2,10.0,88.0,0.398,35.0,0.571,12.6,0.0,215,1.1,0.084,12.6,66,4.2,42,8.1,big-ten,2.1,24.3,196,1.4,0.495,465,0.417,194,0.295,137,0.825,113,35,35,6-8,1128,6.0,5.5,55,4.2,73,25.7,robbie-hummel-1,573,533.0,Forward,1.3,23,purdue,0.404,188,0.383,72,14.0,251,0.54,5.7,32,277,0.44,122,26.3,215,5.6,0.197
5,Shabazz Muhammad,,3.4,6,0.3,,1,-6.2,0,-3.1,11.2,29,0.2,7,0.472,124,0.417,0.5,0.486,0.475,0.46,57,0.323,40,0.65,26,37,0,0,0,6-6,,290,United States of America,,-3.1,,8.8,24,0.1,,,,0.073,0.273,0.089,0.911,0.097,0.21,0.282,0.323,24,13.1,muhamsh01,0,143,,SF-SG,0,1887120.0,8.9,,,0,,0,1.4,8,,MIN,0.089,11,0.273,0.333,3,1.0,10.0,53,0.505,10.2,16,113,0.478,54,0.537,23.1,-0.3,223,0.3,0.053,5.8,27,0.4,4,2.7,pac-12,-1.9,9.3,80,0.8,0.487,456,0.443,202,0.395,180,0.711,128,32,30,6-6,987,4.6,9.9,87,2.9,53,21.9,shabazz-muhammad-1,572,520,Guard,1.3,23,ucla,0.232,106,0.377,40,9.6,167,0.528,8.6,51,350,0.463,162,29.8,225,3.7,0.149
6,Allen Crabbe,,8.7,6,0.7,,1,-4.7,0,-2.1,8.5,8,0.1,0,0.455,33,0.167,0.5,0.333,0.375,0.364,12,0.121,4,0.75,3,15,0,0,0,6-5,,100,United States of America,,-2.7,,1.1,1,0.0,,,,0.0,0.286,0.424,0.576,0.182,0.061,0.091,0.242,10,7.7,crabbal01,0,33,,SG,0,,15.6,,,0,,0,1.0,2,,POR,0.424,14,0.429,0.5,6,0.833,4.8,9,0.475,7.9,3,19,0.316,6,0.667,16.5,-0.1,212,0.1,0.037,16.2,87,1.9,23,8.3,pac-12,2.1,16.0,167,1.8,0.528,468,0.459,215,0.297,139,0.813,113,33,33,6-6,1195,6.2,3.3,33,3.3,69,22.3,allen-crabbe-1,607,548,Guard,1.9,37,california,0.393,184,0.348,64,9.8,200,0.568,13.5,83,284,0.532,151,26.6,210,5.1,0.17
7,CJ McCollum,,8.7,27,0.3,,2,-4.1,0,-2.0,9.2,41,0.3,2,0.5,178,0.333,0.588,0.52,0.435,0.416,74,0.191,34,0.676,23,38,0,1,0,6-3,,476,United States of America,,-2.1,,1.6,7,-0.2,,,,0.011,0.238,0.449,0.551,0.185,0.096,0.14,0.129,53,9.0,mccolcj01,0,201,,SG,0,2316720.0,17.3,,,0,,0,1.5,14,,POR,0.449,80,0.375,0.579,30,0.9,5.4,48,0.521,15.4,35,98,0.449,44,0.364,20.9,-0.3,197,0.2,0.019,24.9,35,1.2,4,8.1,patriot,-0.7,15.8,48,0.6,0.58,194,0.495,96,0.376,73,0.849,62,12,11,6-3,372,8.7,4.0,12,1.9,21,34.7,cj-mccollum-1,287,250,Guard,2.7,17,lehigh,0.33,64,0.516,33,10.0,60,0.628,12.3,32,130,0.485,63,37.2,180,2.4,0.261
8,Steven Adams,,4.9,43,3.9,,57,0.3,0,2.4,17.1,190,1.9,26,0.503,185,0.0,0.25,0.296,0.615,0.503,93,0.735,136,0.581,79,81,20,0,0,6-11,,1197,New Zealand,,-2.1,,14.1,142,0.9,,,,0.162,,0.0,1.0,0.005,0.043,0.292,0.659,203,11.2,adamsst01,0,265,,C,0,2090880.0,3.2,,,0,,0,1.7,40,,OKC,0.0,0,,,0,,15.6,332,0.541,22.5,71,185,0.503,93,0.613,11.7,0.7,265,2.9,0.114,5.4,20,11.2,65,11.9,big-east,8.8,21.0,113,1.9,0.571,175,0.571,100,0.4,70,0.443,31,32,32,7-0,749,3.0,15.3,90,1.6,52,23.2,steven-adams-1,231,228,Center,1.9,21,pittsburgh,0.0,0,,0,18.0,203,0.555,14.4,35,175,0.571,100,17.7,250,3.5,0.185
9,Andre Roberson,,5.2,15.0,2.0,,10.0,-0.3,0,1.9,15.6,58.0,0.6,11.0,0.5,68.0,0.0,0.0,0.0,0.674,0.485,33.0,0.147,10.0,0.7,7.0,40.0,16.0,0.0,0.0,6-7,,399.0,United States of America,,-2.2,,10.7,36.0,0.2,,,,0.176,0.615,0.191,0.809,0.044,0.015,0.074,0.676,74.0,9.0,roberan03,0,75.0,,,0,1110840.0,6.8,,,0,,0,2.4,19.0,,OKC,0.191,13.0,0.154,0.25,2.0,1.0,13.3,94.0,0.518,20.8,19.0,55.0,0.564,31.0,0.452,10.1,0.2,210,0.8,0.099,9.4,44,4.4,41,9.8,pac-12,7.7,29.4,255,2.9,0.515,275,0.48,132,0.356,98,0.551,54,31,30,6-7,1036,2.1,10.6,92,1.4,77,21.9,andre-roberson-1,337,348,Forward,3.9,67,colorado,0.211,58,0.328,19,20.0,347,0.524,18.7,74,217,0.521,113,19.9,210,4.3,0.166
