,name,NBA_and_ones,NBA_assist_percentage,NBA_assists,NBA_block_percentage,NBA_blocking_fouls,NBA_blocks,NBA_box_plus_minus,NBA_center_percentage,NBA_defensive_box_plus_minus,NBA_defensive_rebound_percentage,NBA_defensive_rebounds,NBA_defensive_win_shares,NBA_dunks,NBA_effective_field_goal_percentage,NBA_field_goal_attempts,NBA_field_goal_perc_sixteen_foot_plus_two_pointers,NBA_field_goal_perc_ten_to_sixteen_feet,NBA_field_goal_perc_three_to_ten_feet,NBA_field_goal_perc_zero_to_three_feet,NBA_field_goal_percentage,NBA_field_goals,NBA_free_throw_attempt_rate,NBA_free_throw_attempts,NBA_free_throw_percentage,NBA_free_throws,NBA_games_played,NBA_games_started,NBA_half_court_heaves,NBA_half_court_heaves_made,NBA_height,NBA_lost_ball_turnovers,NBA_minutes_played,NBA_nationality,NBA_net_plus_minus,NBA_offensive_box_plus_minus,NBA_offensive_fouls,NBA_offensive_rebound_percentage,NBA_offensive_rebounds,NBA_offensive_win_shares,NBA_on_court_plus_minus,NBA_other_turnovers,NBA_passing_turnovers,NBA_percentage_field_goals_as_dunks,NBA_percentage_of_three_pointers_from_corner,NBA_percentage_shots_three_pointers,NBA_percentage_shots_two_pointers,NBA_percentage_sixteen_foot_plus_two_pointers,NBA_percentage_ten_to_sixteen_footers,NBA_percentage_three_to_ten_footers,NBA_percentage_zero_to_three_footers,NBA_personal_fouls,NBA_player_efficiency_rating,NBA_player_id,NBA_point_guard_percentage,NBA_points,NBA_points_generated_by_assists,NBA_position,NBA_power_forward_percentage,NBA_salary,NBA_shooting_distance,NBA_shooting_fouls,NBA_shooting_fouls_drawn,NBA_shooting_guard_percentage,NBA_shots_blocked,NBA_small_forward_percentage,NBA_steal_percentage,NBA_steals,NBA_take_fouls,NBA_team_abbreviation,NBA_three_point_attempt_rate,NBA_three_point_attempts,NBA_three_point_percentage,NBA_three_point_shot_percentage_from_corner,NBA_three_pointers,NBA_three_pointers_assisted_percentage,NBA_total_rebound_percentage,NBA_total_rebounds,NBA_true_shooting_percentage,NBA_turnover_percentage,NBA_turnovers,NBA_two_point_attempts,NBA_two_point_percentage,NBA_two_pointers,NBA_two_pointers_assisted_percentage,NBA_usage_percentage,NBA_value_over_replacement_player,NBA_weight,NBA_win_shares,NBA_win_shares_per_48_minutes,NCAAB_assist_percentage,NCAAB_assists,NCAAB_block_percentage,NCAAB_blocks,NCAAB_box_plus_minus,NCAAB_conference,NCAAB_defensive_box_plus_minus,NCAAB_defensive_rebound_percentage,NCAAB_defensive_rebounds,NCAAB_defensive_win_shares,NCAAB_effective_field_goal_percentage,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_minutes_played,NCAAB_offensive_box_plus_minus,NCAAB_offensive_rebound_percentage,NCAAB_offensive_rebounds,NCAAB_offensive_win_shares,NCAAB_personal_fouls,NCAAB_player_efficiency_rating,NCAAB_player_id,NCAAB_points,NCAAB_points_produced,NCAAB_position,NCAAB_steal_percentage,NCAAB_steals,NCAAB_team_abbreviation,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_three_point_percentage,NCAAB_three_pointers,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_true_shooting_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_two_pointers,NCAAB_usage_percentage,NCAAB_weight,NCAAB_win_shares,NCAAB_win_shares_per_40_minutes
20,David Wear,,18.8,1,0.0,,0,-3.0,0,-2.7,0.0,0,0.0,0,0.0,2,,,,0.0,0.0,0,0.0,0,,0,2,0,0,0,6-10,,7,United States of America,,-0.3,,33.6,2,0.0,,,,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1,2.4,wearda01,0,0,,PF,0,29843.0,12.5,,,0,,0,0.0,0,,SAC,0.5,1,0.0,,0,,16.2,2,0.0,0.0,0,1,0.0,0,,12.6,0.0,230,0.0,-0.11,5.4,28.0,1.0,7.0,4.0,pac-12,1.5,12.0,90.0,1.1,0.565,185.0,0.503,93.0,0.222,41.0,0.805,33.0,37.0,37.0,6-10,848.0,2.5,7.4,52.0,1.4,74.0,13.1,david-wear-1,242.0,238.0,Forward,1.5,23.0,ucla,0.281,52.0,0.442,23.0,9.8,142.0,0.592,13.9,33.0,133.0,0.526,70.0,14.0,230,2.4,0.115
21,Cameron Bairstow,,2.2,1,1.1,,1,-7.7,0,-1.0,3.3,2,0.0,0,0.214,14,0.333,0.0,0.0,0.2,0.214,3,0.357,5,0.8,4,18,1,0,0,6-9,,64,Australia,,-6.7,,10.5,6,-0.1,,,,0.0,,0.0,1.0,0.429,0.071,0.143,0.357,8,2.1,bairsca01,0,10,,C,0,507336.0,10.4,,,0,,0,1.6,2,,CHI,0.0,0,,,0,,6.8,8,0.309,15.6,3,14,0.214,3,0.667,13.5,-0.1,250,-0.1,-0.048,11.8,53,4.9,51,7.5,mwc,2.6,16.5,175,2.0,0.558,426,0.556,237,0.7,298,0.735,219,34,34,6-9,1119,4.9,8.5,76,4.5,72,29.0,cameron-bairstow-1,694,627,Forward,1.0,19,new-mexico,0.007,3,0.333,1,12.8,251,0.611,10.7,68,423,0.558,236,29.9,250,6.5,0.232
22,Doug McDermott,,3.0,6,0.2,,1,-8.0,0,-3.3,12.2,37,0.2,2,0.463,107,0.417,0.0,0.125,0.558,0.402,43,0.14,15,0.667,10,36,0,0,0,6-7,,321,United States of America,,-4.8,,2.1,6,-0.3,,,,0.028,0.171,0.383,0.617,0.112,0.028,0.075,0.402,29,6.1,mcderdo01,0,109,,SF,0,2277960.0,13.3,,,0,,0,0.6,4,,CHI,0.383,41,0.317,0.286,13,0.923,7.3,43,0.48,13.0,17,66,0.455,30,0.767,18.3,-0.5,225,0.0,-0.005,11.5,55,0.5,5,8.2,big-east,-1.6,17.8,187,1.4,0.603,627,0.526,330,0.329,206,0.864,178,35,35,6-8,1181,9.8,6.4,57,6.3,67,32.8,doug-mcdermott-1,934,788,Forward,0.4,8,creighton,0.341,214,0.449,96,12.6,244,0.644,7.9,62,413,0.567,234,36.2,225,7.7,0.261
23,Russ Smith,,19.4,8,0.0,,0,-8.0,0,-2.5,8.7,5,0.1,0,0.36,25,0.0,0.25,0.75,0.4,0.32,8,0.52,13,0.923,12,12,0,1,0,6-0,,65,United States of America,,-5.6,,1.8,1,-0.2,,,,0.0,0.091,0.44,0.56,0.04,0.16,0.16,0.2,13,5.2,smithru01,0,30,,PG,0,816482.0,17.2,,,0,,0,2.4,3,,TOT,0.44,11,0.182,0.0,2,1.0,5.3,6,0.488,28.1,12,14,0.429,6,0.0,30.1,-0.1,165,-0.1,-0.094,31.6,172,0.4,4,11.1,aac,3.2,9.6,93,2.9,0.541,481,0.468,225,0.451,217,0.705,153,37,36,6-0,1084,7.9,2.9,29,3.9,92,26.2,russ-smith-1,673,662,Guard,4.0,74,louisville,0.376,181,0.387,70,6.2,122,0.576,15.2,105,300,0.517,155,30.7,165,6.7,0.249
24,Spencer Dinwiddie,,34.9,104,1.0,,6,-4.2,0,-1.5,10.9,44,0.4,1,0.337,169,0.409,0.316,0.269,0.459,0.302,51,0.201,34,0.912,31,34,1,2,0,6-5,,455,United States of America,,-2.6,,0.9,4,-0.3,,,,0.006,0.062,0.385,0.615,0.13,0.112,0.154,0.219,53,10.2,dinwisp01,0,145,,PG,0,700000.0,15.4,,,0,,0,2.2,19,,DET,0.385,65,0.185,0.25,12,0.167,5.7,48,0.394,15.2,33,104,0.375,39,0.128,21.1,-0.2,215,0.1,0.009,26.3,64,0.8,4,10.5,pac-12,1.7,9.6,44,0.8,0.565,131,0.466,61,0.908,119,0.857,102,17,17,6-6,529,8.8,1.8,8,2.2,32,24.8,spencer-dinwiddie-1,250,248,Guard,2.9,26,colorado,0.481,63,0.413,26,5.8,52,0.667,13.8,30,68,0.515,35,21.0,200,3.1,0.231
25,Jabari Brown,,11.0,40,0.3,,2,-3.8,0,-3.0,6.7,33,0.0,3,0.479,170,0.385,0.313,0.316,0.553,0.412,70,0.5,85,0.753,64,19,5,0,0,6-4,,568,United States of America,,-0.8,,0.6,3,0.4,,,,0.024,0.145,0.365,0.635,0.153,0.094,0.112,0.276,33,11.0,brownja01,0,227,,SG,0,44765.0,14.6,,,0,,0,1.1,12,,LAL,0.365,62,0.371,0.333,23,0.913,3.5,36,0.547,13.4,32,108,0.435,47,0.638,18.8,-0.3,215,0.4,0.033,12.2,67,0.4,5,5.6,sec,-1.0,11.5,138,1.1,0.559,435,0.467,203,0.611,266,0.797,212,35,35,6-5,1295,6.6,1.7,17,4.6,57,22.0,jabari-brown-1,698,630,Guard,1.0,22,missouri,0.448,195,0.41,80,7.0,155,0.622,12.7,82,240,0.513,123,26.1,214,5.8,0.178
26,Jordan Clarkson,,23.8,206,0.7,,12,-0.3,0,-1.7,10.5,135,0.4,20,0.48,596,0.386,0.476,0.324,0.665,0.448,267,0.265,158,0.829,131,59,38,0,0,6-4,,1476,United States of America,,1.4,,4.0,56,2.0,,,,0.035,0.099,0.203,0.797,0.221,0.106,0.181,0.285,109,16.9,clarkjo01,0,703,,SG,0,507336.0,12.2,,,0,,0,1.8,51,,LAL,0.203,121,0.314,0.333,38,0.737,7.1,191,0.528,12.6,96,475,0.482,229,0.279,23.0,0.6,194,2.4,0.078,23.3,118.0,0.6,6.0,4.0,sec,0.2,9.3,106.0,1.2,0.482,467.0,0.448,209.0,0.418,195.0,0.831,162.0,35.0,35.0,6-5,1228.0,3.8,2.9,28.0,3.2,76.0,20.2,jordan-clarkson-1,612.0,605.0,Guard,1.9,38.0,missouri,0.244,114.0,0.281,32.0,6.4,134.0,0.547,14.3,93.0,353.0,0.501,177.0,27.9,193,4.4,0.142
27,Julius Randle,,0.0,0,0.0,,0,-16.8,0,-4.5,0.0,0,0.0,0,0.333,3,0.0,,1.0,0.0,0.333,1,0.667,2,0.0,0,1,0,0,0,6-8,,14,United States of America,,-12.3,,0.0,0,-0.1,,,,0.0,,0.0,1.0,0.333,0.0,0.333,0.333,1,-7.5,randlju01,0,2,,PF,0,2997360.0,9.7,,,0,,0,0.0,0,,LAL,0.0,0,,,0,,0.0,0,0.258,20.5,1,3,0.333,1,0.0,15.5,-0.1,250,-0.1,-0.276,10.0,57,2.6,31,7.1,sec,3.0,24.7,277,2.4,0.505,391,0.501,196,0.739,289,0.706,204,40,40,6-9,1233,4.2,13.3,139,3.5,91,24.5,julius-randle-1,599,599,Forward,1.0,20,kentucky,0.046,18,0.167,3,19.2,416,0.567,16.1,101,373,0.517,193,25.4,250,5.9,0.191
28,Jordan Adams,,10.1,16.0,2.3,,7.0,-0.6,0,1.2,8.7,19.0,0.4,0.0,0.465,86.0,0.188,0.714,0.267,0.565,0.407,35.0,0.267,23.0,0.609,14.0,30.0,0.0,0.0,0.0,6-5,,248.0,United States of America,,-1.8,,4.2,9.0,0.0,,,,0.0,0.36,0.291,0.709,0.186,0.081,0.174,0.267,24.0,12.8,adamsjo01,0,94.0,,,0,1344120.0,13.1,,,0,,0,3.4,16.0,,MEM,0.291,25.0,0.4,0.222,10.0,0.9,6.4,28.0,0.489,12.7,14.0,61.0,0.41,25.0,0.6,20.4,0.1,209,0.4,0.073,14.7,84,0.6,5,12.0,pac-12,3.3,13.1,125,2.2,0.545,429,0.485,208,0.441,189,0.836,158,36,36,6-5,1082,8.7,7.5,67,4.2,78,28.3,jordan-adams-1,626,594,Guard,5.0,95,ucla,0.34,146,0.356,52,10.4,192,0.603,9.4,54,283,0.551,156,26.5,220,6.4,0.237
29,Kalin Lucas,,0.0,0,0.0,,0,-1.3,0,6.6,0.0,0,0.0,0,0.0,1,,0.0,,,0.0,0,0.0,0,,0,1,0,0,0,6-1,,6,United States of America,,-7.9,,0.0,0,0.0,,,,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1,-0.7,lucaska01,0,0,,PG,0,,14.0,,,0,,0,8.7,1,,MEM,0.0,0,,,0,,0.0,0,0.0,0.0,0,1,0.0,0,,7.6,0.0,195,0.0,-0.057,23.7,114,0.2,2,3.9,big-ten,-0.7,5.8,57,1.0,0.487,453,0.428,194,0.369,167,0.82,137,34,34,6-1,1136,4.6,1.6,16,2.9,72,18.7,kalin-lucas-1,578,538.0,Guard,1.9,35,michigan-state,0.3,136,0.39,53,3.7,73,0.543,14.0,87,317,0.445,141,28.0,195,3.8,0.134
