name,NCAAB_assists,NCAAB_blocks,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_personal_fouls,NCAAB_points,NCAAB_steal_percentage,NCAAB_steals,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_win_shares,NBA_assists,NBA_blocks,NBA_points,NBA_steals,NBA_total_rebounds,Center,Forward,Guard
Ben Moore,84.0,38.0,284.0,0.56,159.0,0.451,128.0,0.625,80.0,35.0,35.0,80,93.0,399.0,1.7,31.0,0.018000000000000002,5.0,14.2,272.0,14.0,56.0,279.0,0.5660000000000001,5.7,1.0,0.0,0.0,0.0,1.0,0,1,0
Edmond Sumner,105.0,16.0,211.0,0.479,101.0,0.645,136.0,0.735,100.0,21.0,20.0,77,51.0,314.0,2.3,27.0,0.209,44.0,7.6,91.0,17.4,58.0,167.0,0.5329999999999999,2.7,0.0,0.0,2.0,0.0,1.0,0,0,1
Damyean Dotson,36.0,5.0,430.0,0.47,202.0,0.12300000000000001,53.0,0.83,44.0,32.0,32.0,77,53.0,556.0,1.6,29.0,0.5670000000000001,244.0,11.5,222.0,6.8,33.0,186.0,0.505,5.9,31.0,2.0,182.0,12.0,84.0,0,0,1
Isaiah Hicks,55.0,29.0,302.0,0.5760000000000001,174.0,0.48,145.0,0.779,113.0,39.0,39.0,80,119.0,461.0,1.0,16.0,0.0,0.0,12.5,213.0,14.7,64.0,302.0,0.5760000000000001,4.4,16.0,4.0,80.0,2.0,41.0,0,1,0
Tony Bradley,23.0,22.0,178.0,0.573,102.0,0.59,105.0,0.619,65.0,38.0,0.0,82,69.0,269.0,1.0,10.0,0.0,0.0,18.8,195.0,9.9,25.0,178.0,0.573,3.1,1.0,0.0,8.0,0.0,11.0,0,1,0
Erik McCree,44.0,15.0,424.0,0.47600000000000003,202.0,0.389,165.0,0.77,127.0,33.0,33.0,80,53.0,585.0,0.8,15.0,0.35100000000000003,149.0,15.7,295.0,14.3,84.0,275.0,0.5379999999999999,4.6,0.0,0.0,0.0,1.0,1.0,0,1,0
Donovan Mitchell,93.0,17.0,444.0,0.408,181.0,0.243,108.0,0.8059999999999999,87.0,34.0,33.0,75,88.0,529.0,3.7,70.0,0.509,226.0,8.3,165.0,10.2,56.0,218.0,0.46299999999999997,5.4,291.0,27.0,1616.0,118.0,296.0,0,0,1
Kadeem Allen,101.0,21.0,236.0,0.45299999999999996,107.0,0.49200000000000005,116.0,0.741,86.0,34.0,33.0,75,83.0,332.0,3.1,53.0,0.318,75.0,8.1,137.0,18.3,65.0,161.0,0.466,3.8,12.0,2.0,19.0,3.0,11.0,0,0,1
Jabari Bird,28.0,6.0,318.0,0.44,140.0,0.17300000000000001,55.0,0.764,42.0,27.0,25.0,78,52.0,387.0,1.3,18.0,0.56,178.0,8.4,127.0,12.7,50.0,140.0,0.536,3.1,8.0,1.0,39.0,3.0,19.0,0,0,1
Abdel Nader,54.0,23.0,337.0,0.478,161.0,0.315,106.0,0.736,78.0,35.0,35.0,78,98.0,452.0,1.9,37.0,0.415,140.0,9.0,174.0,16.9,79.0,197.0,0.5529999999999999,2.8,26.0,10.0,146.0,15.0,71.0,0,1,0
Semi Ojeleye,53.0,14.0,431.0,0.48700000000000004,210.0,0.508,219.0,0.785,172.0,35.0,35.0,80,62.0,665.0,0.8,15.0,0.39899999999999997,172.0,11.9,240.0,8.5,50.0,259.0,0.529,7.7,20.0,4.0,195.0,21.0,161.0,0,1,0
Jayson Tatum,62.0,33.0,365.0,0.452,165.0,0.381,139.0,0.8490000000000001,118.0,29.0,27.0,80,86.0,488.0,2.3,39.0,0.321,117.0,12.6,213.0,15.0,76.0,248.0,0.504,4.1,128.0,58.0,1112.0,83.0,402.0,0,1,0
Josh Gray,58.0,1.0,159.0,0.44,70.0,0.252,40.0,0.65,26.0,32.0,9.0,73,54.0,174.0,3.4,31.0,0.239,38.0,7.2,66.0,20.5,46.0,121.0,0.512,0.7,12.0,2.0,32.0,8.0,10.0,0,0,1
Shaquille Harrison,132.0,7.0,367.0,0.474,174.0,0.5479999999999999,201.0,0.632,127.0,32.0,32.0,76,69.0,483.0,3.4,60.0,0.11199999999999999,41.0,9.6,177.0,12.7,67.0,326.0,0.509,4.1,55.0,7.0,152.0,26.0,61.0,0,0,1
Alec Peters,64.0,11.0,468.0,0.466,218.0,0.415,194.0,0.887,172.0,29.0,29.0,81,64.0,666.0,1.3,23.0,0.342,160.0,16.2,293.0,11.2,71.0,308.0,0.519,6.1,12.0,2.0,82.0,2.0,37.0,0,1,0
Davon Reed,79.0,16.0,372.0,0.433,161.0,0.29,108.0,0.833,90.0,33.0,33.0,78,52.0,491.0,2.3,43.0,0.535,199.0,8.1,158.0,13.7,67.0,173.0,0.474,4.8,13.0,2.0,63.0,10.0,39.0,0,0,1
Reggie Hearn,46.0,11.0,290.0,0.441,128.0,0.507,147.0,0.735,108.0,30.0,30.0,76,79.0,402.0,2.3,35.0,0.39,113.0,8.8,139.0,13.7,57.0,177.0,0.508,2.7,0.0,0.0,3.0,0.0,0.0,0,0,1
Luke Kennard,91.0,13.0,485.0,0.489,237.0,0.386,187.0,0.856,160.0,37.0,36.0,77,83.0,722.0,1.4,31.0,0.414,201.0,8.2,188.0,9.3,59.0,284.0,0.525,7.1,124.0,13.0,558.0,44.0,176.0,0,0,1
Derrick Walton,189.0,1.0,392.0,0.436,171.0,0.434,170.0,0.8759999999999999,149.0,38.0,37.0,72,65.0,589.0,2.0,43.0,0.5920000000000001,232.0,9.1,182.0,12.3,66.0,160.0,0.456,7.1,16.0,3.0,29.0,7.0,16.0,0,0,1
Jamel Artis,106.0,9.0,413.0,0.475,196.0,0.38299999999999995,158.0,0.7340000000000001,116.0,32.0,31.0,79,61.0,582.0,0.7,13.0,0.45799999999999996,189.0,8.2,156.0,14.5,83.0,224.0,0.545,3.6,18.0,3.0,77.0,2.0,38.0,0,1,0
Khem Birch,40.0,124.0,245.0,0.51,125.0,0.7709999999999999,189.0,0.693,131.0,33.0,32.0,81,76.0,381.0,1.2,21.0,0.0,0.0,17.2,337.0,11.6,44.0,245.0,0.51,5.5,34.0,21.0,178.0,15.0,180.0,0,1,0
Jonathan Isaac,37.0,49.0,256.0,0.508,130.0,0.461,118.0,0.78,92.0,32.0,32.0,82,70.0,383.0,2.4,37.0,0.348,89.0,16.7,251.0,13.3,48.0,167.0,0.593,4.3,18.0,30.0,145.0,33.0,99.0,0,1,0
Wesley Iwundu,121.0,12.0,314.0,0.48100000000000004,151.0,0.506,159.0,0.767,122.0,35.0,35.0,79,63.0,456.0,1.9,35.0,0.271,85.0,12.3,221.0,17.2,81.0,229.0,0.52,4.4,57.0,12.0,229.0,33.0,137.0,0,1,0
Rodney Purvis,84.0,8.0,406.0,0.37200000000000005,151.0,0.23399999999999999,95.0,0.8109999999999999,77.0,33.0,32.0,76,71.0,456.0,1.7,34.0,0.557,226.0,6.4,139.0,11.6,59.0,180.0,0.41100000000000003,3.0,17.0,3.0,96.0,3.0,27.0,0,0,1
Tyler Cavanaugh,71.0,14.0,446.0,0.44799999999999995,200.0,0.457,204.0,0.848,173.0,35.0,35.0,81,98.0,640.0,1.0,19.0,0.368,164.0,15.2,294.0,14.6,93.0,282.0,0.47200000000000003,5.0,27.0,4.0,183.0,9.0,127.0,0,1,0
Antonius Cleveland,73.0,30.0,383.0,0.5429999999999999,208.0,0.415,159.0,0.66,105.0,33.0,33.0,78,85.0,549.0,2.5,47.0,0.191,73.0,9.5,169.0,12.6,66.0,310.0,0.581,4.1,2.0,5.0,23.0,7.0,14.0,0,0,1
John Collins,17.0,52.0,376.0,0.622,234.0,0.585,220.0,0.745,164.0,33.0,33.0,82,98.0,632.0,1.3,21.0,0.003,1.0,21.1,324.0,11.1,60.0,375.0,0.624,5.6,98.0,80.0,777.0,47.0,541.0,0,1,0
Tyler Dorsey,67.0,4.0,405.0,0.467,189.0,0.34299999999999997,139.0,0.755,105.0,39.0,39.0,76,57.0,571.0,1.5,30.0,0.514,208.0,6.7,135.0,11.1,59.0,197.0,0.513,5.2,79.0,5.0,405.0,17.0,130.0,0,0,1
Damion Lee,59.0,1.0,355.0,0.428,152.0,0.377,134.0,0.843,113.0,30.0,30.0,78,62.0,478.0,2.8,46.0,0.504,179.0,6.7,117.0,10.7,50.0,176.0,0.517,5.2,29.0,1.0,161.0,19.0,71.0,0,0,1
Ryan Arcidiacono,169.0,1.0,371.0,0.445,165.0,0.29600000000000004,110.0,0.836,92.0,40.0,39.0,75,60.0,498.0,2.5,54.0,0.52,193.0,5.4,117.0,12.6,61.0,178.0,0.5,6.0,35.0,0.0,48.0,13.0,25.0,0,0,1
Antonio Blakeney,54.0,3.0,424.0,0.45799999999999996,194.0,0.3,127.0,0.7240000000000001,92.0,31.0,30.0,76,49.0,533.0,1.1,21.0,0.349,148.0,8.0,149.0,11.7,64.0,276.0,0.511,2.1,20.0,1.0,151.0,7.0,33.0,0,0,1
Lauri Markkanen,32.0,19.0,376.0,0.49200000000000005,185.0,0.436,164.0,0.835,137.0,37.0,37.0,84,73.0,576.0,0.8,15.0,0.434,163.0,14.0,266.0,8.1,40.0,213.0,0.545,6.7,79.0,40.0,1033.0,39.0,508.0,0,1,0
Matt Costello,46.0,42.0,264.0,0.561,148.0,0.38299999999999995,101.0,0.752,76.0,35.0,35.0,81,75.0,374.0,1.7,23.0,0.03,8.0,20.2,288.0,10.9,38.0,256.0,0.57,5.1,2.0,2.0,4.0,2.0,9.0,0,1,0
Brandon Paul,98.0,23.0,459.0,0.401,184.0,0.449,206.0,0.738,152.0,36.0,34.0,76,86.0,598.0,2.3,44.0,0.523,240.0,8.4,157.0,14.7,96.0,219.0,0.484,4.6,37.0,7.0,147.0,25.0,68.0,0,0,1
Derrick White,148.0,49.0,404.0,0.507,205.0,0.45,182.0,0.813,148.0,34.0,32.0,77,72.0,615.0,2.2,42.0,0.35600000000000004,144.0,7.0,139.0,14.2,81.0,260.0,0.569,5.9,9.0,3.0,54.0,4.0,26.0,0,0,1
Gian Clavell,47.0,20.0,449.0,0.43,193.0,0.28300000000000003,127.0,0.693,88.0,27.0,26.0,76,58.0,552.0,3.2,53.0,0.45,202.0,9.4,170.0,9.4,53.0,247.0,0.466,4.3,3.0,0.0,20.0,2.0,7.0,0,0,1
Kyle Collinsworth,275.0,20.0,444.0,0.46399999999999997,206.0,0.505,224.0,0.652,146.0,37.0,36.0,78,74.0,567.0,3.2,74.0,0.083,37.0,12.6,303.0,18.6,126.0,407.0,0.484,5.7,56.0,9.0,101.0,17.0,107.0,0,0,1
Johnathan Motley,79.0,37.0,434.0,0.521,226.0,0.42200000000000004,183.0,0.6990000000000001,128.0,34.0,34.0,81,104.0,589.0,0.7,12.0,0.076,33.0,19.2,335.0,16.1,100.0,401.0,0.541,5.4,7.0,2.0,96.0,3.0,49.0,0,1,0
Jameel Warney,52.0,98.0,432.0,0.63,272.0,0.41200000000000003,178.0,0.624,111.0,33.0,33.0,80,71.0,655.0,1.7,31.0,0.0,0.0,18.4,357.0,7.8,44.0,432.0,0.63,8.3,0.0,0.0,17.0,0.0,9.0,0,1,0
Dillon Brooks,95.0,16.0,422.0,0.488,206.0,0.299,126.0,0.754,95.0,35.0,27.0,77,97.0,564.0,2.5,38.0,0.336,142.0,7.4,113.0,13.0,72.0,280.0,0.532,4.7,135.0,17.0,898.0,73.0,257.0,0,1,0
Myke Henry,31.0,8.0,317.0,0.536,170.0,0.27399999999999997,87.0,0.7240000000000001,63.0,31.0,31.0,78,95.0,425.0,1.7,26.0,0.18899999999999997,60.0,12.7,192.0,17.5,76.0,257.0,0.5760000000000001,2.3,22.0,6.0,107.0,31.0,38.0,0,1,0
Vince Hunter,55.0,34.0,346.0,0.526,182.0,0.598,207.0,0.599,124.0,33.0,30.0,80,98.0,492.0,2.7,41.0,0.028999999999999998,10.0,19.1,305.0,17.2,92.0,336.0,0.53,4.4,0.0,1.0,6.0,0.0,3.0,0,1,0
Omari Johnson,32.0,9.0,196.0,0.45899999999999996,90.0,0.265,52.0,0.519,27.0,31.0,26.0,81,43.0,223.0,1.8,26.0,0.342,67.0,13.5,193.0,17.2,46.0,129.0,0.574,1.4,7.0,0.0,22.0,2.0,11.0,0,1,0
Ivan Rabb,48.0,31.0,312.0,0.484,151.0,0.599,187.0,0.6629999999999999,124.0,31.0,30.0,83,96.0,434.0,1.3,21.0,0.064,20.0,18.3,324.0,14.3,67.0,292.0,0.49,4.6,32.0,13.0,201.0,12.0,158.0,0,1,0
Xavier Rathan-Mayes,168.0,4.0,296.0,0.45299999999999996,134.0,0.395,117.0,0.53,62.0,35.0,35.0,76,70.0,370.0,1.9,33.0,0.419,124.0,6.4,112.0,15.6,65.0,172.0,0.547,3.2,18.0,3.0,29.0,6.0,5.0,0,0,1
Kobi Simmons,73.0,3.0,281.0,0.395,111.0,0.317,89.0,0.775,69.0,37.0,19.0,77,70.0,323.0,1.6,24.0,0.349,98.0,4.1,60.0,12.5,46.0,183.0,0.43200000000000005,2.4,68.0,5.0,196.0,18.0,50.0,0,0,1
Bonzie Colson,19.0,47.0,312.0,0.503,157.0,0.349,109.0,0.7609999999999999,83.0,21.0,21.0,77,36.0,414.0,3.1,35.0,0.18600000000000003,58.0,17.7,212.0,8.1,32.0,254.0,0.551,3.9,3.0,1.0,39.0,5.0,30.0,0,1,0
Donte DiVincenzo,139.0,8.0,391.0,0.48100000000000004,188.0,0.27399999999999997,107.0,0.71,76.0,40.0,10.0,77,83.0,537.0,2.0,42.0,0.542,212.0,9.6,190.0,15.2,79.0,179.0,0.575,5.5,31.0,6.0,131.0,13.0,65.0,0,0,1
Trevon Duval,207.0,5.0,346.0,0.428,148.0,0.257,89.0,0.596,53.0,37.0,34.0,75,89.0,380.0,2.8,54.0,0.309,107.0,3.6,73.0,20.8,102.0,239.0,0.49,3.0,2.0,0.0,5.0,0.0,1.0,0,0,1
Marcus Derrickson,46.0,19.0,297.0,0.505,150.0,0.441,131.0,0.863,113.0,29.0,29.0,79,70.0,460.0,1.2,20.0,0.34,101.0,14.4,234.0,14.9,63.0,196.0,0.526,3.9,1.0,1.0,46.0,0.0,13.0,0,1,0
Jonah Bolden,33.0,27.0,123.0,0.415,51.0,0.366,45.0,0.733,33.0,31.0,11.0,82,64.0,144.0,1.7,21.0,0.293,36.0,11.8,150.0,15.3,26.0,87.0,0.483,1.4,40.0,39.0,207.0,17.0,165.0,0,1,0
Landry Shamet,166.0,6.0,315.0,0.489,154.0,0.327,103.0,0.825,85.0,32.0,32.0,76,61.0,477.0,1.3,23.0,0.603,190.0,5.8,103.0,15.5,67.0,125.0,0.56,4.9,117.0,10.0,722.0,37.0,134.0,0,0,1
Zhaire Smith,66.0,42.0,277.0,0.556,154.0,0.45799999999999996,127.0,0.7170000000000001,91.0,37.0,21.0,77,67.0,417.0,2.3,42.0,0.14400000000000002,40.0,10.4,185.0,10.8,41.0,237.0,0.574,5.6,10.0,2.0,40.0,2.0,13.0,0,0,1
Shai Gilgeous-Alexander,189.0,18.0,377.0,0.485,183.0,0.46399999999999997,175.0,0.8170000000000001,143.0,37.0,24.0,78,62.0,532.0,2.8,61.0,0.151,57.0,6.8,153.0,17.9,100.0,320.0,0.5,5.2,270.0,45.0,889.0,96.0,232.0,0,0,1
Deonte Burton,142.0,17.0,456.0,0.47100000000000003,215.0,0.485,221.0,0.742,164.0,32.0,31.0,73,71.0,643.0,2.4,48.0,0.342,156.0,6.5,137.0,10.4,65.0,300.0,0.5529999999999999,5.2,9.0,8.0,82.0,6.0,28.0,0,0,1
Hamidou Diallo,46.0,13.0,313.0,0.428,134.0,0.39899999999999997,125.0,0.616,77.0,37.0,37.0,77,96.0,371.0,1.7,28.0,0.24600000000000002,77.0,8.1,135.0,12.0,51.0,236.0,0.45799999999999996,2.4,17.0,10.0,190.0,21.0,97.0,0,0,1
Donte Grantham,45.0,17.0,182.0,0.56,102.0,0.275,50.0,0.78,39.0,19.0,19.0,80,38.0,269.0,1.5,15.0,0.341,62.0,12.6,131.0,13.5,32.0,120.0,0.633,3.1,0.0,0.0,0.0,0.0,0.0,0,1,0
Jordan Loyd,4.0,0.0,4.0,0.25,1.0,1.25,5.0,0.4,2.0,1.0,0.0,75,1.0,4.0,0.0,0.0,0.25,1.0,13.7,5.0,0.0,0.0,3.0,0.33299999999999996,0.0,6.0,0.0,29.0,0.0,9.0,0,0,1
Harry Giles,9.0,17.0,78.0,0.5770000000000001,45.0,0.308,24.0,0.5,12.0,26.0,6.0,82,58.0,102.0,1.7,9.0,0.0,0.0,19.1,100.0,16.8,18.0,78.0,0.5770000000000001,1.2,85.0,22.0,408.0,31.0,222.0,0,1,0
Chris Chiozza,208.0,4.0,314.0,0.41700000000000004,131.0,0.299,94.0,0.809,76.0,34.0,32.0,72,73.0,376.0,3.5,65.0,0.34700000000000003,109.0,7.5,147.0,14.5,61.0,205.0,0.45399999999999996,4.5,4.0,1.0,6.0,1.0,4.0,0,0,1
Gary Clark,50.0,5.0,235.0,0.515,121.0,0.281,66.0,0.833,55.0,32.0,26.0,76,74.0,349.0,2.0,30.0,0.4,94.0,4.7,70.0,17.1,55.0,141.0,0.489,2.1,18.0,26.0,148.0,20.0,116.0,0,0,1
Jaylen Adams,146.0,7.0,350.0,0.43700000000000006,153.0,0.517,181.0,0.851,154.0,28.0,27.0,73,80.0,535.0,2.4,43.0,0.491,172.0,5.3,95.0,16.5,86.0,178.0,0.43799999999999994,4.7,65.0,5.0,108.0,14.0,60.0,0,0,1
Kevin Huerter,108.0,21.0,322.0,0.503,162.0,0.307,99.0,0.758,75.0,32.0,32.0,79,76.0,472.0,1.1,20.0,0.5429999999999999,175.0,8.8,161.0,17.8,80.0,147.0,0.605,4.5,214.0,25.0,727.0,65.0,245.0,0,0,1
Isaac Humphries,9.0,18.0,88.0,0.511,45.0,0.284,25.0,0.6,15.0,38.0,1.0,84,58.0,105.0,1.4,8.0,0.0,0.0,18.0,106.0,13.8,16.0,88.0,0.511,1.3,0.0,0.0,15.0,1.0,11.0,0,1,0
Jordan Sibert,71.0,5.0,388.0,0.456,177.0,0.474,184.0,0.7879999999999999,145.0,36.0,35.0,76,73.0,579.0,3.2,62.0,0.59,229.0,6.1,118.0,12.0,65.0,159.0,0.61,5.7,0.0,0.0,3.0,0.0,0.0,0,0,1
Omari Spellman,30.0,59.0,336.0,0.47600000000000003,160.0,0.20800000000000002,70.0,0.7,49.0,40.0,39.0,81,92.0,434.0,1.3,26.0,0.446,150.0,16.8,321.0,9.8,40.0,186.0,0.511,5.2,47.0,25.0,272.0,26.0,194.0,0,1,0
Trae Young,279.0,8.0,618.0,0.42200000000000004,261.0,0.44299999999999995,274.0,0.861,236.0,32.0,32.0,74,57.0,876.0,2.5,54.0,0.531,328.0,5.8,125.0,18.2,167.0,290.0,0.493,5.7,653.0,15.0,1549.0,72.0,301.0,0,0,1
Keita Bates-Diop,56.0,56.0,515.0,0.48,247.0,0.27399999999999997,141.0,0.794,112.0,34.0,34.0,79,57.0,672.0,1.6,31.0,0.35700000000000004,184.0,15.6,296.0,9.5,62.0,331.0,0.547,6.1,17.0,14.0,151.0,18.0,83.0,0,1,0
Josh Okogie,59.0,23.0,320.0,0.41600000000000004,133.0,0.506,162.0,0.821,133.0,24.0,24.0,76,70.0,437.0,2.9,42.0,0.313,100.0,10.2,150.0,13.3,61.0,220.0,0.43200000000000005,3.4,91.0,33.0,570.0,88.0,218.0,0,0,1
Cameron Reynolds,68.0,18.0,419.0,0.408,171.0,0.217,91.0,0.703,64.0,31.0,31.0,79,77.0,467.0,1.2,24.0,0.413,173.0,10.1,196.0,9.2,47.0,246.0,0.447,2.6,13.0,2.0,95.0,6.0,31.0,0,0,1
Jared Terrell,80.0,7.0,447.0,0.42700000000000005,191.0,0.313,140.0,0.821,115.0,34.0,34.0,75,78.0,572.0,2.6,50.0,0.405,181.0,6.2,119.0,10.3,59.0,266.0,0.436,4.6,12.0,2.0,31.0,3.0,6.0,0,0,1
Brad Wanamaker,174.0,12.0,297.0,0.44799999999999995,133.0,0.519,154.0,0.76,117.0,34.0,34.0,76,72.0,399.0,3.0,49.0,0.165,49.0,9.9,177.0,17.2,77.0,248.0,0.47200000000000003,5.4,56.0,2.0,140.0,12.0,41.0,0,0,1
Tahjere McCall,139.0,13.0,292.0,0.435,127.0,0.6609999999999999,193.0,0.637,123.0,27.0,27.0,76,89.0,386.0,5.1,76.0,0.127,37.0,9.0,134.0,20.5,99.0,255.0,0.46299999999999997,3.3,0.0,0.0,4.0,0.0,1.0,0,0,1
Theo Pinson,187.0,20.0,275.0,0.473,130.0,0.48,132.0,0.818,108.0,37.0,37.0,78,84.0,380.0,2.0,40.0,0.193,53.0,11.6,240.0,20.9,89.0,222.0,0.532,4.2,21.0,0.0,81.0,6.0,36.0,0,1,0
Jemerrio Jones,106.0,19.0,332.0,0.503,167.0,0.214,71.0,0.521,37.0,34.0,33.0,77,76.0,375.0,2.1,36.0,0.13,43.0,25.4,450.0,18.1,81.0,289.0,0.564,4.9,13.0,5.0,27.0,7.0,49.0,0,1,0
Sviatoslav Mykhailiuk,107.0,12.0,472.0,0.434,205.0,0.11900000000000001,56.0,0.804,45.0,39.0,39.0,80,97.0,570.0,1.9,46.0,0.5489999999999999,259.0,6.4,153.0,11.5,65.0,213.0,0.423,4.6,37.0,1.0,133.0,14.0,36.0,0,0,1
Moritz Wagner,33.0,20.0,409.0,0.528,216.0,0.264,108.0,0.6940000000000001,75.0,39.0,39.0,82,120.0,570.0,2.1,38.0,0.391,160.0,15.7,278.0,10.8,56.0,249.0,0.614,5.7,24.0,13.0,207.0,11.0,85.0,0,1,0
Grayson Allen,172.0,2.0,433.0,0.418,181.0,0.293,127.0,0.85,108.0,37.0,37.0,76,79.0,572.0,2.8,64.0,0.637,276.0,5.1,123.0,13.8,79.0,157.0,0.503,5.9,25.0,6.0,211.0,6.0,23.0,0,0,1
Drew Eubanks,35.0,55.0,263.0,0.624,164.0,0.51,134.0,0.701,94.0,32.0,32.0,82,87.0,422.0,0.9,15.0,0.0,0.0,13.1,218.0,14.6,56.0,263.0,0.624,4.0,7.0,5.0,41.0,2.0,34.0,0,1,0
Chimezie Metu,53.0,59.0,392.0,0.523,205.0,0.38799999999999996,152.0,0.73,111.0,34.0,33.0,83,87.0,533.0,1.5,27.0,0.102,40.0,14.2,253.0,12.8,68.0,352.0,0.5479999999999999,4.4,13.0,2.0,51.0,6.0,36.0,0,1,0
Miles Bridges,92.0,26.0,457.0,0.457,209.0,0.239,109.0,0.853,93.0,34.0,33.0,79,53.0,582.0,1.2,21.0,0.42700000000000005,195.0,12.5,237.0,11.6,67.0,262.0,0.527,5.5,95.0,49.0,597.0,55.0,323.0,0,0,1
Joe Chealey,122.0,4.0,430.0,0.39299999999999996,169.0,0.5720000000000001,246.0,0.858,211.0,34.0,34.0,75,78.0,611.0,1.5,29.0,0.414,178.0,8.0,158.0,9.7,59.0,252.0,0.425,5.5,1.0,0.0,2.0,0.0,0.0,0,0,1
DeVaughn Akoon-Purcell,60.0,13.0,364.0,0.431,157.0,0.45299999999999996,165.0,0.715,118.0,32.0,30.0,77,62.0,451.0,2.0,30.0,0.201,73.0,10.0,158.0,16.3,86.0,291.0,0.474,2.5,6.0,0.0,7.0,2.0,4.0,0,0,1
Brandon Goodwin,162.0,4.0,474.0,0.47,223.0,0.405,192.0,0.75,144.0,34.0,33.0,72,53.0,632.0,2.2,46.0,0.32299999999999995,153.0,9.3,188.0,15.0,100.0,321.0,0.564,5.2,14.0,0.0,23.0,0.0,3.0,0,0,1
Jarred Vanderbilt,14.0,11.0,68.0,0.426,29.0,0.5589999999999999,38.0,0.632,24.0,14.0,0.0,81,37.0,82.0,1.4,6.0,0.015,1.0,25.7,110.0,14.8,15.0,67.0,0.433,1.0,3.0,1.0,24.0,6.0,23.0,0,1,0
Thomas Welsh,46.0,29.0,334.0,0.485,162.0,0.174,58.0,0.828,48.0,33.0,33.0,84,79.0,417.0,1.1,22.0,0.335,112.0,17.8,358.0,8.6,34.0,222.0,0.527,4.5,5.0,0.0,18.0,0.0,4.0,1,0,0
Kostas Antetokounmpo,13.0,31.0,101.0,0.574,58.0,0.634,64.0,0.516,33.0,29.0,6.0,82,66.0,151.0,1.0,7.0,0.149,15.0,12.3,83.0,22.9,39.0,86.0,0.6509999999999999,0.7,0.0,0.0,2.0,2.0,1.0,0,1,0
Ryan Broekhoff,75.0,27.0,353.0,0.44799999999999995,158.0,0.38,134.0,0.8809999999999999,118.0,33.0,33.0,79,46.0,517.0,2.0,34.0,0.564,199.0,15.4,240.0,13.3,64.0,154.0,0.48700000000000004,6.2,22.0,4.0,167.0,6.0,63.0,0,0,1
Jalen Brunson,184.0,1.0,518.0,0.521,270.0,0.313,162.0,0.802,130.0,40.0,40.0,75,78.0,756.0,1.7,37.0,0.40700000000000003,211.0,5.6,122.0,10.7,71.0,307.0,0.599,7.7,230.0,4.0,678.0,37.0,169.0,0,0,1
Daryl Macon,138.0,2.0,389.0,0.447,174.0,0.452,176.0,0.875,154.0,35.0,30.0,75,62.0,587.0,1.9,36.0,0.519,202.0,5.3,101.0,11.8,63.0,187.0,0.47600000000000003,5.1,7.0,0.0,29.0,1.0,12.0,0,0,1
Aaron Holiday,192.0,8.0,460.0,0.461,212.0,0.41700000000000004,192.0,0.828,159.0,33.0,33.0,73,87.0,671.0,1.9,42.0,0.446,205.0,5.3,121.0,18.5,125.0,255.0,0.486,4.9,87.0,13.0,294.0,21.0,67.0,0,0,1
Alize Johnson,94.0,14.0,400.0,0.43,172.0,0.363,145.0,0.759,110.0,33.0,33.0,81,69.0,495.0,0.9,15.0,0.365,146.0,21.0,384.0,13.6,74.0,254.0,0.516,4.7,1.0,3.0,13.0,1.0,19.0,0,1,0
Deandre Ayton,57.0,66.0,451.0,0.612,276.0,0.424,191.0,0.733,140.0,35.0,35.0,85,81.0,704.0,1.0,20.0,0.078,35.0,21.4,405.0,11.3,69.0,416.0,0.635,7.6,125.0,67.0,1159.0,61.0,729.0,0,1,0
George King,35.0,21.0,319.0,0.445,142.0,0.273,87.0,0.782,68.0,32.0,31.0,78,78.0,414.0,1.1,17.0,0.49200000000000005,157.0,15.5,251.0,15.1,64.0,162.0,0.494,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1
Mohamed Bamba,15.0,111.0,270.0,0.541,146.0,0.441,119.0,0.6809999999999999,81.0,30.0,29.0,83,76.0,387.0,1.5,23.0,0.18899999999999997,51.0,20.2,316.0,12.3,46.0,219.0,0.603,4.8,39.0,64.0,292.0,13.0,233.0,0,1,0
Isaiah Briscoe,151.0,7.0,347.0,0.47,163.0,0.42700000000000005,148.0,0.635,94.0,36.0,36.0,75,92.0,437.0,1.5,30.0,0.17,59.0,9.5,195.0,17.6,89.0,288.0,0.507,3.8,87.0,2.0,136.0,11.0,74.0,0,0,1
Troy Caupain,158.0,11.0,330.0,0.39399999999999996,130.0,0.3,99.0,0.687,68.0,36.0,36.0,75,53.0,377.0,2.2,42.0,0.45799999999999996,151.0,8.3,165.0,11.3,48.0,179.0,0.45299999999999996,4.8,4.0,0.0,10.0,1.0,3.0,0,0,1
