name,NCAAB_assists,NCAAB_blocks,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_personal_fouls,NCAAB_points,NCAAB_steal_percentage,NCAAB_steals,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_win_shares,NBA_assists,NBA_blocks,NBA_points,NBA_steals,NBA_total_rebounds,Center,Forward,Guard
Lonzo Ball,274.0,28.0,343.0,0.551,189.0,0.28600000000000003,98.0,0.6729999999999999,66.0,36.0,36.0,78,65.0,524.0,2.8,66.0,0.5660000000000001,194.0,9.3,216.0,18.6,89.0,149.0,0.732,6.8,376.0,43.0,528.0,88.0,360.0,0,0,1
Thomas Bryant,50.0,52.0,285.0,0.519,148.0,0.519,148.0,0.73,108.0,34.0,34.0,82,104.0,427.0,1.6,26.0,0.21100000000000002,60.0,13.7,226.0,18.0,78.0,225.0,0.556,3.8,6.0,2.0,22.0,1.0,17.0,1,0,0
Alex Caruso,185.0,14.0,221.0,0.502,111.0,0.294,65.0,0.785,51.0,37.0,37.0,77,92.0,301.0,4.2,77.0,0.344,76.0,6.8,134.0,25.7,87.0,145.0,0.5720000000000001,4.4,75.0,10.0,134.0,23.0,65.0,0,0,1
Josh Hart,106.0,10.0,463.0,0.51,236.0,0.36700000000000005,170.0,0.747,127.0,36.0,35.0,77,81.0,673.0,2.9,56.0,0.395,183.0,12.2,230.0,11.5,71.0,280.0,0.579,7.7,80.0,16.0,496.0,47.0,263.0,0,0,1
Kyle Kuzma,71.0,14.0,361.0,0.504,182.0,0.35200000000000004,127.0,0.669,85.0,29.0,29.0,81,46.0,476.0,1.1,18.0,0.233,84.0,17.7,271.0,12.8,62.0,277.0,0.56,4.5,141.0,34.0,1242.0,49.0,483.0,0,1,0
PJ Dozier,101.0,10.0,469.0,0.40700000000000003,191.0,0.275,129.0,0.597,77.0,36.0,36.0,79,100.0,501.0,3.3,60.0,0.301,141.0,9.5,173.0,12.8,78.0,328.0,0.45399999999999996,3.6,0.0,0.0,2.0,0.0,1.0,0,0,1
Daniel Hamilton,170.0,15.0,411.0,0.387,159.0,0.243,100.0,0.86,86.0,36.0,36.0,79,66.0,451.0,2.0,38.0,0.345,142.0,16.1,321.0,15.6,85.0,269.0,0.41600000000000004,4.7,8.0,0.0,12.0,1.0,5.0,0,0,1
Dakari Johnson,29.0,36.0,156.0,0.506,79.0,0.9229999999999999,144.0,0.625,90.0,39.0,0.0,84,69.0,248.0,1.4,14.0,0.0,0.0,16.5,179.0,15.8,42.0,156.0,0.506,3.6,8.0,8.0,55.0,6.0,34.0,1,0,0
Devin Robinson,23.0,29.0,299.0,0.475,142.0,0.33799999999999997,101.0,0.723,73.0,36.0,35.0,80,81.0,400.0,1.9,31.0,0.368,110.0,12.9,220.0,10.1,39.0,189.0,0.524,4.5,0.0,0.0,2.0,1.0,5.0,0,1,0
Jarrett Allen,27.0,51.0,316.0,0.5660000000000001,179.0,0.47200000000000003,149.0,0.564,84.0,33.0,33.0,83,68.0,442.0,1.0,19.0,0.022000000000000002,7.0,14.9,278.0,17.8,84.0,309.0,0.579,3.3,49.0,88.0,587.0,28.0,388.0,0,1,0
Milton Doyle,142.0,22.0,376.0,0.447,168.0,0.36700000000000005,138.0,0.797,110.0,32.0,32.0,76,77.0,487.0,3.1,55.0,0.309,116.0,9.9,161.0,17.2,92.0,260.0,0.488,4.2,10.0,2.0,34.0,6.0,18.0,0,0,1
Jacob Wiley,80.0,94.0,412.0,0.643,265.0,0.466,192.0,0.828,159.0,34.0,34.0,79,102.0,694.0,1.3,26.0,0.017,7.0,15.9,309.0,20.3,128.0,405.0,0.642,6.3,2.0,0.0,4.0,1.0,11.0,0,1,0
Zach Collins,16.0,69.0,207.0,0.652,135.0,0.715,148.0,0.743,110.0,39.0,0.0,84,105.0,390.0,1.5,18.0,0.10099999999999999,21.0,18.4,230.0,17.8,60.0,186.0,0.672,5.0,52.0,31.0,292.0,17.0,221.0,0,1,0
Caleb Swanigan,107.0,28.0,421.0,0.527,222.0,0.499,210.0,0.7809999999999999,164.0,35.0,35.0,81,97.0,646.0,0.8,15.0,0.20199999999999999,85.0,22.5,436.0,18.5,118.0,336.0,0.5479999999999999,6.4,14.0,3.0,61.0,5.0,54.0,0,1,0
Ike Anigbogu,6.0,35.0,101.0,0.564,57.0,0.426,43.0,0.535,23.0,29.0,0.0,82,72.0,137.0,0.7,5.0,0.0,0.0,16.9,117.0,16.5,24.0,101.0,0.564,1.3,0.0,3.0,13.0,1.0,9.0,0,1,0
Trey McKinney-Jones,56.0,1.0,259.0,0.413,107.0,0.259,67.0,0.851,57.0,36.0,34.0,77,55.0,330.0,1.7,29.0,0.579,150.0,6.9,122.0,10.5,34.0,109.0,0.44,3.9,0.0,0.0,0.0,0.0,0.0,0,0,1
